ticker,company,asset,indication,stage,anchor,conf,pres_type,year,parsed_outcome,price_at_catalyst,btd,orphan,priority_review,fast_track,accelerated_approval,gene_therapy,surrogate_endpoint,single_arm_study,safety_signal_severity,ta_bucket_v2,ta_base_score,historical_crl_rate,sponsor_prior_approvals,had_adcom,ppm_flag,src,cap_tier,Drug,Indication,market_cap,size_tier,ta,key,mcap_fmp,si_t1_days_to_cover,si_t1_short_to_adv,si_t1_change_pct,cap_tier_final,conf_full,runup_30d,runup_20d,runup_10d,runup_5d,event_day,post_5d,post_10d,cap_tier_pit,mcap_pit
CHRS,Coherus Oncology Inc.,CHS-114 - (SRF114),Solid tumors,Phase 1,2024-05-24,ASCO,unspecified,2024,UNKNOWN,1.91,,,,,,,,,,,,,,,,backtest,,,,,,,CHRS|2024-05-24,158083881.06,,,,micro,,-9.87,-1.47,5.79,-5.19,-6.47,-12.44,-13.43,micro,230598736.30589008
IDYA,IDEAYA Biosciences Inc.,Darovasertib - (neo-adjuvant and adjuvant settings) - (NADOM),Ocular Melanoma,Phase 2,2024-05-24,ASCO,unspecified,2024,UNKNOWN,37.71,,,,,,,,,,,,,,,,backtest,,,,,,,IDYA|2024-05-24,,,,,,,-8.39,-3.73,-6.61,-5.06,-2.39,1.14,-0.31,mid,2910150904.3443146
INCY,Incyte Corporation,INCB099280,Solid Tumors,Phase 1,2024-05-24,ASCO,unspecified,2024,UNKNOWN,57.31,,,,,,,,,,,,,,,,backtest,,,,,,,INCY|2024-05-24,14305087699.999998,,,,large,,6.69,11.16,8.27,0.61,-0.35,2.35,3.39,large,12899866316.260998
BNTX,BioNTech SE,YL202/BNT326,Locally advanced or metastatic non-small cell lung cancer and breast cancer,Phase 1,2024-05-24,ASCO,unspecified,2024,UNKNOWN,96.95,,,,,,,,,,,,,,,,backtest,,,,,,,BNTX|2024-05-24,26453980206.0,6.9,6.901584991756592,-7.23,large,,14.48,13.52,8.0,9.26,-4.95,3.91,-1.03,large,23534847765.0
NUVB,Nuvation Bio Inc. Class A,Taletrectinib - (TRUST-I) (China),ROS1-positive non-small cell lung cancer (NSCLC),Phase 2,2024-05-24,ASCO,unspecified,2024,UNKNOWN,3.08,,,,,,,,,,,,,,,,backtest,,,,,,,NUVB|2024-05-24,714933520.0,,,,small,,3.7,14.93,-5.23,-7.23,-3.9,-11.69,-5.84,small,761285576.9823761
COGT,Cogent Biosciences Inc.,Bezuclastinib and SUTENT (sunitinib) - (PEAK),Gastrointestinal Stromal Tumors (GIST),Phase 3,2024-05-23,ASCO,unspecified,2024,UNKNOWN,7.49,,,,,,,,,,,,,,,,backtest,,,,,,,COGT|2024-05-23,,,,,,,22.6,33.61,1.39,7.5,2.37,-0.25,4.48,small,767775544.3484688
BCYC,Bicycle Therapeutics plc,BT5528 and OPDIVO (nivolumab),Solid tumors,Phase 1/2,2024-05-23,ASCO,unspecified,2024,UNKNOWN,23.48,,,,,,,,,,,,,,,,backtest,,,,,,,BCYC|2024-05-23,,,,,,,-4.8,-4.88,-9.16,-3.43,7.52,3.59,7.56,small,913190230.992609
BMY,Bristol-Myers Squibb Company,BMC128 with Opdivo,"Non-small cell lung cancer (NSCLC), melanoma or renal cell carcinoma",Phase 1,2024-05-23,ASCO,unspecified,2024,MIXED,40.47,,,,,,,,,,,,,,,,backtest,,,,,,,BMY|2024-05-23,114647120000.0,,,,large,,-13.8,-5.28,-5.36,-4.01,-2.6,-2.95,-2.03,large,85827418373.95093
EVGN,Evogene Ltd.,BMC128 with Opdivo,"Non-small cell lung cancer (NSCLC), melanoma or renal cell carcinoma",Phase 1,2024-05-23,ASCO,unspecified,2024,MIXED,7.2,,,,,,,,,,,,,,,,backtest,,,,,,,EVGN|2024-05-23,,,,,,,-0.54,12.29,5.71,13.85,10.81,0.68,-6.08,nano,37432595.602412224
KPTI,Karyopharm Therapeutics Inc.,XPOVIO (selinexor) - (SIENDO),Endometrial cancer,Phase 3,2024-06-01,ASCO,unspecified,2024,UNKNOWN,0.97,,,,,,,,,,,,,,,,backtest,,,,,,,KPTI|2024-06-01,82379377.86,,,,micro,,-17.15,-14.22,-15.71,-7.68,-4.33,-0.28,0.34,micro,114061243.64958929
MRUS,Merus N.V.,MCLA-145 with Keytruda (pembrolizumab),Solid tumors,Phase 1,2024-06-02,ASCO,unspecified,2024,UNKNOWN,52.94,False,False,False,False,False,False,False,False,0.0,LOW,0.061,0.46408046,0.0,False,False,backtest,,,,,,,MRUS|2024-06-02,2700483168.25,2.46,2.458070183868616,35.12,mid,,33.74,10.09,21.25,-11.25,-5.41,0.17,4.75,,
AZN,AstraZeneca PLC,IMFINZI (Durvalumab) - (ADRIATIC),Small cell lung cancer (SCLC) limited disease,Phase 3,2024-06-02,ASCO,unspecified,2024,UNKNOWN,78.51,,,,,,,,,,,,,,,,backtest,,,,,,,AZN|2024-06-02,203112000000.0,1.67,1.6727880578682206,-13.01,large,,12.91,3.04,-0.95,-3.36,1.67,3.64,3.15,,
DSNKY,"Daiichi Sankyo Co., Ltd. ADR",Enhertu - (DESTINY-Breast06),"HR-positive, HER2-low (IHC 1+ or 2+/ISH-) metastatic breast cancer",Phase 3,2024-06-02,ASCO,unspecified,2024,NEGATIVE,34.73,,,,,,,,,,,,,,,,backtest,,,,,,,DSNKY|2024-06-02,6790615432757.999,,,,large,,17.23,-1.34,-0.31,2.17,-1.67,4.18,-2.71,,
GMAB,Genmab A/S,MCLA-145 with Keytruda (pembrolizumab),Solid tumors,Phase 1,2024-06-02,ASCO,unspecified,2024,UNKNOWN,,False,False,False,False,False,False,False,False,0.0,LOW,0.061,0.463309353,0.0,False,False,backtest,,,,,,,GMAB|2024-06-02,97160077740.03,6.91,6.910543515983496,-2.99,large,,-1.74,-5.11,-5.94,0.71,1.06,-0.99,-8.58,,
AFMD,Affimed N.V.,AFM24-102 and TECENTRIQ (atezolizumab),"EGFR Expressing Solid Tumors, Non-small cell lung cancer, and Gastric/gastroesophageal junction (GEJ) cancer",Phase 2,2024-06-01,ASCO,unspecified,2024,UNKNOWN,4.35,,,,,,,,,,,,,,,,backtest,,,,,,,AFMD|2024-06-01,,,,,,,-15.53,-19.74,-17.14,3.82,53.56,40.69,54.94,,
NKGN,NKGen Biotech Inc.,SNK02,Solid Tumors,Phase 1,2024-05-23,ASCO,unspecified,2024,UNKNOWN,1.86,,,,,,,,,,,,,,,,backtest,,,,,,,NKGN|2024-05-23,,,,,,,39.06,-10.1,42.4,57.52,-20.22,-6.18,-18.54,,
NUVB,Nuvation Bio Inc. Class A,Taletrectinib - (TRUST-I) (China),ROS1-positive non-small cell lung cancer (NSCLC),Phase 2,2024-06-01,ASCO,unspecified,2024,UNKNOWN,3.1,,,,,,,,,,,,,,,,backtest,,,,,,,NUVB|2024-06-01,714933520.0,4.33,4.3311513407156,84.69,small,,19.23,-3.73,-6.63,0.65,-15.81,-6.45,-5.48,small,766228985.2279701
INAB,IN8bio Inc.,INB-200,Glioblastoma,Phase 1,2024-06-01,ASCO,unspecified,2024,UNKNOWN,1.19,,,,,,,,,,,,,,,,backtest,,,,,,,INAB|2024-06-01,,,,,,,15.53,19.0,15.53,17.82,3.36,10.08,-15.97,micro,52507500.432130046
CYCC,Cyclacel Pharmaceuticals Inc.,Fadraciclib (CYC065-101),Advanced cancers,Phase 1,2024-06-01,ASCO,unspecified,2024,UNKNOWN,2.64,,,,,,,,,,,,,,,,backtest,,,,,,,CYCC|2024-06-01,,,,,,,48.31,32.0,15.28,28.78,-17.8,-28.79,-38.26,,
CRBP,Corbus Pharmaceuticals Holdings Inc.,CRB-701 (SYS6002) with Pembrolizumab,"Solid tumors, Locally advanced or metastatic urothelial carcinoma",Phase 1,2024-06-01,ASCO,unspecified,2024,UNKNOWN,42.8,,,,,,,,,,,,,,,,backtest,,,,,,,CRBP|2024-06-01,,,,,,,9.07,10.39,-4.89,-4.93,10.07,2.5,3.29,small,457390452.2467003
MOLN,Molecular Partners AG,MP0317,Solid Tumors,Phase 1,2024-06-01,ASCO,unspecified,2024,MIXED,3.6,,,,,,,,,,,,,,,,backtest,,,,,,,MOLN|2024-06-01,146740332.08016002,,,,micro,,-8.86,-9.55,-4.76,-5.26,8.06,22.22,102.5,micro,130875465.73298408
BDTX,Black Diamond Therapeutics Inc.,Silevertinib (BDTX-1535),Glioblastoma multiforme (GBM) and NSCLC,Phase 1,2024-06-01,ASCO,unspecified,2024,MIXED,4.78,,,,,,,,,,,,,,,,backtest,,,,,,,BDTX|2024-06-01,,,,,,,-9.13,-31.32,-1.85,-2.25,0.84,6.9,14.44,micro,268888367.12230587
BGNE,BeiGene Ltd.,BGB15025 monotherapy and in combination with tislelizumab (TIS; antiPD1 antibody),Solid Tumors,Phase 1a,2024-06-01,ASCO,unspecified,2024,UNKNOWN,148.85,,,,,,,,,,,,,,,,backtest,,,,,,,BGNE|2024-06-01,19354016243.00769,,,,large,,14.92,-8.26,-13.88,-2.53,4.19,4.85,7.07,,
ONC,BeOne Medicines Ltd.,BGB15025 monotherapy and in combination with tislelizumab (TIS; antiPD1 antibody),Solid Tumors,Phase 1a,2024-06-01,ASCO,unspecified,2024,UNKNOWN,,,,,,,,,,,,,,,,,backtest,,,,,,,ONC|2024-06-01,19447746480.0,,,,large,,14.92,-8.26,-13.88,-2.53,4.19,4.85,7.07,large,202365210623.52823
CGEN,Compugen Ltd.,"COM701, COM902 and Pembrolizumab","Advanced malignancies, Ovarian cancer",Phase 1,2024-06-01,ASCO,unspecified,2024,UNKNOWN,2.17,,,,,,,,,,,,,,,,backtest,,,,,,,CGEN|2024-06-01,,2.46,2.456754542230412,4.6,,,14.21,2.84,2.84,-11.07,-2.76,-6.45,-9.68,micro,193645305.85827827
LLY,Eli Lilly and Company,ERAS-601 - (FLAGSHP-1),Advanced solid tumors,Phase 1,2024-06-01,ASCO,unspecified,2024,UNKNOWN,819.2,,,,,,,,,,,,,,,,backtest,,,,,,,LLY|2024-06-01,695267060000.0,,,,large,,12.95,11.62,6.54,1.6,1.49,5.44,7.88,large,779655579874.8221
INAB,IN8bio Inc.,INB-200,Glioblastoma,Phase 1,2024-05-13,ASGCT,unspecified,2024,UNKNOWN,1.02,,,,,,,,,,,,,,,,backtest,,,,,,,INAB|2024-05-13,,,,,,,-12.17,-0.98,2.02,1.2,2.97,0.99,3.96,nano,44565187.36786995
HOWL,Werewolf Therapeutics Inc.,WTX-124,Solid Tumors,Phase 1b,2024-05-23,ASCO,unspecified,2024,UNKNOWN,5.16,,,,,,,,,,,,,,,,backtest,,,,,,,HOWL|2024-05-23,,,,,,,-3.55,-21.26,-12.21,0.2,-0.2,5.73,-28.63,micro,212496738.82808256
