# pdufa.bio conference run-up study, 1,425 presentations 2017-2026. License: CC BY 4.0. Tier column is point-in-time market cap. Returns in percent, anchored on the meeting start date. Not investment advice.
ticker,company,conf,year,cap_tier_pit,runup_30d,runup_20d,runup_10d,runup_5d,event_day,post_5d,post_10d
MOLN,Molecular Partners AG,ASH,2023,micro,-17.51,-11.84,-6.53,-4.0,26.58,20.82,24.66
IPSC,Century Therapeutics Inc.,ASH,2023,micro,-31.34,-12.35,-0.33,1.36,18.12,-6.71,-10.74
TAK,Takeda Pharmaceutical Company Limited American Depositary Shares (each representing 1/2 of a share of),ASH,2023,large,-14.31,-8.27,-6.06,2.02,2.64,-0.44,0.51
KROS,Keros Therapeutics Inc.,ASH,2023,small,-13.39,-12.94,2.33,1.49,11.72,3.08,10.11
SONN,Sonnet BioTherapeutics Holdings Inc.,CTAD,2023,,-62.31,-51.79,-50.0,-2.42,6.61,1.65,7.85
OPK,Opko Health Inc.,ASH,2023,small,-22.84,-17.22,-2.34,-0.79,8.0,2.4,14.4
MLYS,Mineralys Therapeutics Inc.,ASN,2023,small,-27.71,-21.24,-4.91,-3.73,7.23,-4.52,-13.42
RGNX,REGENXBIO Inc.,AAO,2023,small,-8.04,-6.12,-0.75,22.5,3.93,20.65,26.03
IVA,Inventiva S.A.,AASLD,2023,micro,-8.44,-5.63,-1.07,-2.25,3.42,9.02,15.72
PHVS,Pharvaris N.V.,ACAAI,2023,small,-19.74,-11.38,-5.47,-9.36,0.6,-3.58,2.69
ATXS,Astria Therapeutics Inc.,ACAAI,2023,,-37.8,-27.27,-4.53,-6.07,-3.23,-4.74,1.51
SGMT,Sagimet Biosciences Inc.,AASLD,2023,micro,-68.18,-49.46,-24.53,-31.37,-20.36,5.71,39.29
ASMB,Assembly Biosciences Inc.,AASLD,2023,micro,-2.3,13.33,4.94,-2.3,-11.76,-17.65,-15.29
DBVT,DBV Technologies S.A.,ACAAI,2023,micro,-25.76,-20.97,-9.26,-2.0,-3.06,-12.76,-18.37
ABUS,Arbutus Biopharma Corporation,AASLD,2023,small,-6.5,1.63,6.25,3.31,-5.35,-1.07,0.0
BRNS,Barinthus Biotherapeutics plc American Depositary Shares,AASLD,2023,micro,-3.37,-22.01,-14.07,-35.21,5.23,2.79,2.79
HCWB,HCW Biologics Inc.,SITC,2023,micro,-18.37,-14.44,-13.1,0.63,-7.5,-42.5,-30.94
CRVS,Corvus Pharmaceuticals Inc.,ASH,2023,micro,71.43,38.13,28.86,18.52,-23.96,-19.79,-10.42
BYSI,BeyondSpring Inc.,SITC,2023,nano,25.88,41.84,-5.54,-1.73,-1.33,-7.49,-6.47
CLSD,Clearside Biomedical Inc.,AAO,2023,,32.56,27.23,52.0,57.31,-9.65,-16.78,-16.67
ABBV,AbbVie Inc.,AAO,2023,large,-8.26,-5.16,-3.49,0.01,0.59,-2.22,-1.75
AURA,Aura Biosciences Inc.,AAO,2023,small,27.45,40.12,40.94,60.37,-38.06,-35.31,-30.63
MRK,Merck & Company Inc.,SITC,2023,large,-2.32,-1.07,0.03,0.68,0.6,-0.88,-0.68
MDNA,Medicenna Therapeutics Corp.,SITC,2023,,-12.37,-4.8,-6.99,45.47,25.95,41.6,18.32
EQ,Equillium Inc.,ASN,2023,nano,-33.34,-30.72,-14.37,-5.54,-1.78,0.0,-0.02
INDP,Indaptus Therapeutics Inc.,SITC,2023,nano,0.4,0.6,0.4,10.24,-3.6,-11.2,-19.6
PMVP,PMV Pharmaceuticals Inc.,UNKNOWN,2024,micro,-1.12,14.29,-5.88,7.98,-3.98,-3.41,1.7
ADCT,ADC Therapeutics SA,AACR,2024,small,6.84,11.11,10.13,12.61,-4.4,-12.6,-6.4
CRDF,Cardiff Oncology Inc.,AACR,2024,micro,249.7,41.06,-0.17,1.92,-3.08,-9.59,-25.34
PSTX,Poseida Therapeutics Inc.,AACR,2024,,-8.0,-26.54,-3.86,-3.55,0.67,-18.73,-28.09
VINC,Vincerx Pharma Inc.,AACR,2024,,55.03,-29.92,10.56,-5.13,-80.9,-84.32,-84.34
ARWR,Arrowhead Pharmaceuticals Inc.,ACC,2024,mid,-18.42,-22.93,-5.26,-8.71,1.82,-6.87,-7.21
BNTX,BioNTech SE,AACR,2024,large,-3.67,-0.82,-1.43,-2.79,-0.52,-2.91,-2.77
REPL,Replimune Group Inc.,AACR,2024,small,-10.57,-18.49,-10.24,-4.79,-1.09,-3.26,-12.77
NVCR,NovoCure Limited,ASCO,2024,small,-1.88,-3.82,11.8,18.32,-7.93,-9.28,-18.62
BNOX,Bionomics Limited,ACNP,2024,,16.6,-9.42,-10.97,1.13,-7.84,-1.12,-3.04
MRK,Merck & Company Inc.,UNKNOWN,2024,large,-3.87,-4.91,-2.04,-1.02,0.56,3.12,7.27
ALXO,ALX Oncology Holdings Inc.,AACR,2024,small,-22.84,-19.59,4.17,10.98,0.9,5.4,16.35
WHWK,Whitehawk Therapeutics Inc.,SGO,2024,micro,24.71,14.21,-11.07,0.93,-1.84,0.0,0.46
PCRX,Pacira BioSciences Inc.,ACR,2024,small,-7.59,4.62,2.17,1.49,-4.25,-1.77,-4.97
AMGN,Amgen Inc.,AAD,2024,large,-12.19,-5.97,-4.41,-2.02,1.02,-1.04,2.58
JNJ,Johnson & Johnson,AAD,2024,large,0.01,1.76,-0.79,-0.2,2.02,-1.73,-2.7
PTGX,Protagonist Therapeutics Inc.,AAD,2024,small,21.62,13.6,2.68,-4.2,-1.48,-6.13,-8.01
ARQT,Arcutis Biotherapeutics Inc.,AAD,2024,small,110.38,69.71,15.07,1.83,-9.33,-8.16,-16.95
TLSA,Tiziana Life Sciences Ltd,ADPD,2024,micro,-8.21,-1.01,3.7,10.36,-3.8,-3.66,-10.35
MNKD,MannKind Corporation,ATTD,2024,small,49.71,50.15,45.07,14.44,-10.49,-13.2,-4.47
LONA,LeonaBio Inc.,ADPD,2024,micro,34.74,30.91,5.6,5.33,-29.88,-36.87,-38.55
MTEM,Molecular Templates Inc.,AACR,2024,,-50.13,-37.93,-17.15,4.21,-7.07,-16.16,-21.72
SNY,Sanofi,AAN,2024,large,-3.58,-3.54,-4.5,-2.82,-0.9,1.77,9.24
ZLAB,Zai Lab Limited,AAN,2024,large,-30.46,-21.46,-11.47,-11.36,-3.38,6.48,11.27
HALO,Halozyme Therapeutics Inc.,AAN,2024,mid,-5.4,-4.09,-4.23,-3.51,-1.81,0.65,-1.6
ARGX,argenx SE,AAN,2024,large,-3.6,4.07,-5.25,-2.05,-2.67,-0.31,-0.2
ABOS,Acumen Pharmaceuticals Inc.,AAN,2024,micro,-21.21,-11.31,-6.86,-8.07,-1.7,-10.48,-8.78
LBPH,Longboard Pharmaceuticals Inc.,AAN,2024,,-10.03,-0.62,-8.79,5.61,-4.95,-2.76,10.57
ATHE,Alterity Therapeutics Limited,AAN,2024,mid,69.94,67.05,50.77,56.38,-30.27,-27.55,-25.51
ABBV,AbbVie Inc.,AAN,2024,large,-4.85,-7.55,-8.01,-1.46,-3.49,-0.66,-4.72
REGN,Regeneron Pharmaceuticals Inc.,AACR,2024,large,-4.98,-2.75,-2.04,-0.74,-2.5,-4.52,-3.96
BNTX,BioNTech SE,AACR,2024,large,-2.95,-5.93,-1.8,-0.8,-3.38,-4.05,-2.18
AZN,AstraZeneca PLC,AACR,2024,,5.12,2.44,2.57,3.78,-0.29,-0.97,2.68
ATHA,LeonaBio Inc Com (New),ADPD,2024,,34.74,30.91,5.6,5.33,-29.88,-36.87,-38.55
NRIX,Nurix Therapeutics Inc.,AACR,2024,small,23.77,-2.34,2.0,-7.13,13.7,6.16,2.39
IOBT,IO Biotech Inc.,AACR,2024,,-0.65,-9.94,-10.98,-9.94,2.6,-1.95,-4.55
ONC,BeOne Medicines Ltd.,AACR,2024,large,-6.56,-8.98,-2.71,-2.28,0.01,-10.48,-7.19
BGNE,BeiGene Ltd.,AACR,2024,,-6.56,-8.98,-2.71,-2.28,0.01,-10.48,-7.19
ALXO,ALX Oncology Holdings Inc.,AACR,2024,small,-26.2,-9.81,3.58,13.25,-0.74,19.36,27.68
CCCC,C4 Therapeutics Inc.,AACR,2024,small,-19.45,-27.94,-6.7,-0.26,0.78,-10.84,-9.92
ELTX,Elicio Therapeutics Inc.,AACR,2024,micro,115.85,79.88,29.77,24.3,-0.56,4.29,10.06
NVCT,Nuvectis Pharma Inc.,AACR,2024,micro,3.46,-24.17,-13.75,-1.89,-1.16,-17.61,-8.74
PTN,Palatin Technologies Inc.,ASCRS,2024,nano,-43.77,-4.35,13.55,0.0,18.18,3.41,-2.27
IPHA,Innate Pharma S.A.,ASH,2023,micro,4.03,8.86,3.2,8.4,-7.36,-5.04,3.1
ATNM,Actinium Pharmaceuticals Inc.,ASH,2023,micro,-1.48,20.63,24.59,-4.32,-13.16,-10.15,8.08
MEIP,MEI Pharma Inc.,ASH,2023,,-2.89,-5.75,1.66,5.49,-2.38,-7.89,-8.48
ADCT,ADC Therapeutics SA,ASH,2023,micro,45.71,117.02,40.98,-8.11,0.98,38.24,61.76
NRIX,Nurix Therapeutics Inc.,ASH,2023,small,95.45,63.19,44.78,14.51,-3.6,4.65,12.56
AFMD,Affimed N.V.,ASH,2023,,32.49,32.08,-6.67,-7.49,-16.9,-4.76,8.57
CRIS,Curis Inc.,ASH,2023,nano,192.89,88.25,5.87,10.54,-3.81,-2.34,21.75
MBRX,Moleculin Biotech Inc.,ASH,2023,nano,14.58,1.85,-0.24,-7.2,-7.27,13.7,17.82
COGT,Cogent Biosciences Inc.,ASH,2023,small,4.98,25.22,28.38,4.47,-48.5,-47.8,-33.68
SDGR,Schrodinger Inc.,ASH,2023,small,47.58,16.9,2.5,-0.96,-1.5,6.6,16.15
MRK,Merck & Company Inc.,ASH,2023,large,0.9,2.33,2.29,-1.25,0.59,2.21,3.74
AZN,AstraZeneca PLC,ASH,2023,,2.97,0.62,-2.87,-2.69,1.14,2.35,7.47
MOLN,Molecular Partners AG,ASH,2023,micro,14.71,3.44,-2.5,0.7,-6.53,1.4,0.93
KYMR,Kymera Therapeutics Inc.,ASH,2023,small,109.66,58.4,17.11,8.13,-1.57,9.96,16.7
JSPR,Jasper Therapeutics Inc.,ASH,2023,micro,-26.19,-26.09,-21.66,-15.0,-11.96,-9.8,13.33
SNY,Sanofi,ASH,2023,large,7.4,0.87,-2.79,-1.49,2.18,4.79,5.96
GLPG,Galapagos NV,ASH,2023,,23.91,8.67,5.25,2.95,0.15,-0.56,1.6
BMY,Bristol-Myers Squibb Company,ASH,2023,large,-1.39,-0.59,2.63,0.66,0.4,2.05,2.27
MRK,Merck & Company Inc.,ASH,2023,large,0.9,2.33,2.29,-1.25,0.59,2.21,3.74
IPHA,Innate Pharma S.A.,ASH,2023,micro,4.03,8.86,3.2,8.4,-7.36,-5.04,3.1
IPSC,Century Therapeutics Inc.,ASH,2023,micro,66.43,84.5,65.28,47.83,10.5,7.14,21.01
AZN,AstraZeneca PLC,ASCO-GI,2024,,5.17,-0.47,-3.5,-3.48,3.05,-0.38,-0.26
BMEA,Biomea Fusion Inc.,ATTD,2024,small,16.88,-6.16,14.29,-5.35,-9.25,-0.68,-9.93
CRVO,CervoMed Inc.,ADPD,2024,micro,41.11,49.06,-18.85,-3.64,24.72,38.35,92.44
KALV,KalVista Pharmaceuticals Inc.,AAAAI,2024,,-4.12,-5.91,-21.38,-15.34,16.22,11.53,4.13
CLDX,Celldex Therapeutics Inc.,AAAAI,2024,mid,-7.99,3.23,-0.76,-1.31,35.21,34.33,23.28
HCM,HUTCHMED (China) Limited,ASCO,2024,large,-19.82,-15.88,-0.3,8.08,3.11,0.15,15.91
HALO,Halozyme Therapeutics Inc.,ASCO-GU,2024,mid,-18.74,-7.91,-0.64,0.59,-1.29,-1.55,4.33
BMY,Bristol-Myers Squibb Company,ASCO-GU,2024,large,-4.17,-2.97,-1.21,0.26,-0.62,-3.46,0.1
EPIX,ESSA Pharma Inc.,ASCO-GU,2024,,64.3,19.59,9.6,2.57,-11.38,1.82,18.89
IPSEY,Ipsen ADR,ASCO-GU,2024,,2.84,-3.75,-4.65,-1.4,5.09,2.05,0.81
EXEL,Exelixis Inc.,ASCO-GU,2024,mid,0.27,-7.95,-3.28,-0.72,0.05,-1.63,-8.77
AGEN,Agenus Inc.,ASCO-GI,2024,micro,-26.13,-23.24,-25.75,-9.69,3.46,20.16,9.43
PRLD,Prelude Therapeutics Incorporated,ESMO,2024,micro,-16.23,-4.9,-9.68,-6.73,10.93,-46.39,-51.13
RCUS,Arcus Biosciences Inc.,ASCO-GI,2024,small,4.47,-10.74,-13.84,-5.65,-7.7,-7.57,-8.61
CHRS,Coherus Oncology Inc.,ASCO,2024,micro,6.96,21.18,-18.54,-13.99,-0.81,-3.66,-15.04
SNDX,Syndax Pharmaceuticals Inc.,ASH,2023,small,37.47,29.44,14.56,6.98,3.9,14.05,20.79
CRIS,Curis Inc.,ASH,2023,nano,150.84,94.27,-12.2,-2.05,12.94,14.75,34.16
ORIC,Oric Pharmaceuticals Inc.,ASH,2023,small,50.16,51.12,27.95,11.6,-8.27,-9.86,-2.86
IRON,Disc Medicine Inc.,ASH,2023,small,40.41,25.61,14.32,9.73,-1.93,-4.06,-0.02
INAB,IN8bio Inc.,ASH,2023,nano,6.45,-4.81,43.48,10.0,65.66,36.36,44.44
GILD,Gilead Sciences Inc.,ASH,2023,large,3.13,4.08,5.47,0.87,2.28,0.61,1.18
GMAB,Genmab A/S,ENA,2025,,26.23,15.72,6.55,0.12,0.12,-7.8,-10.86
OLMA,Olema Pharmaceuticals Inc.,ESMO,2025,small,23.48,12.36,-15.37,-12.93,-11.54,-6.09,-10.04
ALPMY,Astellas Pharma Inc. ADR,ESMO,2025,,-8.88,-5.99,-3.79,1.62,-0.19,-0.19,1.31
MRK,Merck & Company Inc.,ESMO,2025,large,0.83,5.46,-4.52,-1.06,3.34,3.79,-2.71
REGN,Regeneron Pharmaceuticals Inc.,ESMO,2025,large,-0.73,-3.85,-5.14,0.8,1.34,1.54,14.52
MRK,Merck & Company Inc.,ESMO,2025,large,-0.93,2.96,-5.91,-2.41,2.86,4.25,2.45
LLY,Eli Lilly and Company,ESMO,2025,large,12.67,8.96,-2.44,-1.69,-1.27,0.74,5.31
AZN,AstraZeneca PLC,ESMO,2025,,2.81,9.55,-0.82,-0.13,-1.27,-3.18,-2.55
SNSE,Sensei Biotherapeutics Inc.,ESMO,2025,,111.3,95.33,84.08,56.13,-37.32,-39.93,-47.84
EVAX,Evaxion A/S,ESMO,2025,small,228.77,210.68,76.8,62.71,-26.15,-38.65,-40.1
TEM,Tempus AI Inc.,ESMO,2025,,17.8,3.96,2.14,-12.96,1.28,-5.12,-1.15
MRUS,Merus N.V.,ENA,2025,,43.06,41.78,0.74,0.49,0.11,-0.26,0.05
PFE,Pfizer Inc.,ESMO,2025,large,-0.16,1.96,-7.26,-0.89,1.39,1.06,0.61
CGEN,Compugen Ltd.,ESMO,2025,micro,31.21,34.06,28.47,3.35,14.05,-0.54,-7.57
CLRB,Cellectar Biosciences Inc.,AACR,2025,nano,15.11,12.24,5.46,4.04,6.65,-5.18,-8.13
CNTB,Connect Biopharma Holdings Limited,ERS,2025,micro,-22.93,-23.3,-1.25,0.0,-4.43,1.27,15.19
CLNN,Clene Inc.,ECTRIMS,2025,micro,65.75,12.45,-2.1,-4.27,-2.81,32.4,56.03
PMVP,PMV Pharmaceuticals Inc.,UNKNOWN,2025,micro,11.11,12.68,11.11,3.23,-23.13,-21.88,-8.13
MRK,Merck & Company Inc.,UNKNOWN,2025,large,2.4,5.37,-0.45,0.51,0.64,-4.1,-5.84
PSTV,PLUS THERAPEUTICS Inc.,ASCO,2025,micro,83.0,45.96,-7.31,-31.79,-1.18,-10.47,-15.93
ALNY,Alnylam Pharmaceuticals Inc.,AAIC,2025,large,10.07,3.04,4.65,3.6,18.25,28.05,30.29
RYTM,Rhythm Pharmaceuticals Inc.,ENDO,2025,mid,40.11,37.58,38.21,30.59,3.07,2.23,-1.18
NVCR,NovoCure Limited,ESMO,2025,small,-0.5,4.46,-0.61,4.71,0.45,2.19,-6.8
CELC,Celcuity Inc.,ASCO,2025,small,19.2,17.97,3.55,9.52,-0.4,6.86,9.89
ZYME,Zymeworks Inc.,ENA,2025,small,8.27,9.34,4.43,-4.74,0.4,8.21,1.3
MRKR,Marker Therapeutics Inc.,ASH,2025,nano,9.74,-8.55,-4.11,-3.17,-8.67,-1.85,-3.33
ANAB,AnaptysBio Inc.,ACR,2025,small,82.51,13.14,5.47,7.49,0.83,-0.46,-8.5
PCRX,Pacira BioSciences Inc.,ACR,2025,small,-19.54,-17.23,-6.16,-3.13,-1.5,5.2,13.08
NVCT,Nuvectis Pharma Inc.,ENA,2025,micro,0.16,4.73,0.16,0.0,3.71,2.58,-2.1
PMVP,PMV Pharmaceuticals Inc.,ENA,2025,micro,28.46,6.76,17.04,12.86,0.0,-10.76,-17.09
XNCR,Xencor Inc.,ENA,2025,small,43.49,6.66,-5.3,-16.45,15.64,19.21,12.64
GMAB,Genmab A/S,ENA,2025,,7.37,2.75,-6.1,-9.95,-2.81,-4.22,-4.05
MRUS,Merus N.V.,ENA,2025,,35.7,37.06,0.05,-0.5,0.19,0.47,0.86
ZLAB,Zai Lab Limited,ENA,2025,large,-14.57,-11.39,-7.34,-0.95,-6.0,-6.75,-21.84
MRK,Merck & Company Inc.,ENA,2025,large,5.28,10.97,1.38,2.82,0.94,-1.38,-1.03
APRE,Aprea Therapeutics Inc.,AACR,2025,nano,-1.3,4.11,7.04,-3.18,-11.84,-7.89,-19.08
RHHBY,Roche Holding AG ADR,ISTH,2025,,0.23,0.31,-4.06,-5.13,4.06,3.98,2.27
DVAX,Dynavax Technologies Corporation,IDWEEK,2025,,1.51,5.01,-0.69,2.44,0.79,3.87,-0.2
CATX,Isoray. (DE),ASCO-GI,2025,small,30.9,36.06,26.48,-7.04,-30.73,-30.96,-42.09
IOBT,IO Biotech Inc.,ESMO,2025,,-63.6,-56.03,36.02,12.83,55.68,38.72,38.98
IDYA,IDEAYA Biosciences Inc.,ESMO,2025,mid,25.1,12.89,6.44,9.3,-0.21,10.63,7.18
BCAB,BioAtla Inc.,ESMO,2025,nano,35.77,32.64,1.2,-8.83,-16.85,-14.82,-19.93
IMMP,Immutep Limited,ESMO,2025,mid,20.35,21.05,6.15,4.02,-0.48,-1.45,-11.59
AZN,AstraZeneca PLC,ESMO,2025,,4.76,8.97,-0.82,1.1,-1.52,-4.03,-5.26
NUVL,Nuvalent Inc.,ESMO,2025,micro,15.9,17.26,10.34,3.09,5.04,5.61,0.54
INCY,Incyte Corporation,ESMO,2025,large,1.17,3.35,0.39,3.35,-0.31,6.29,15.99
RHHBY,Roche Holding AG ADR,ESMO,2025,,5.75,5.27,-0.99,-0.82,-1.98,-6.28,-10.6
AZN,AstraZeneca PLC,ESMO,2025,,4.76,8.97,-0.82,1.1,-1.52,-4.03,-5.26
CLSD,Clearside Biomedical Inc.,ARVO,2025,,-17.54,13.35,0.87,-2.38,4.87,3.45,1.65
MRK,Merck & Company Inc.,ASCO,2025,large,0.37,-5.92,2.46,2.34,-0.32,-2.04,1.91
PDSB,PDS Biotechnology Corporation,ASCO,2025,micro,62.98,25.6,30.83,10.56,-8.92,-10.19,8.92
IMNN,Imunon Inc.,ASCO,2025,nano,-51.71,-52.66,-48.08,-14.19,446.55,504.33,220.22
GMAB,Genmab A/S,UNKNOWN,2025,,16.77,2.14,8.63,5.78,1.19,3.52,5.8
MRUS,Merus N.V.,UNKNOWN,2025,,7.72,-4.52,1.71,0.1,22.12,40.7,32.0
BCTX,BriaCell Therapeutics Corp.,ASCO,2025,nano,-14.96,-34.42,9.65,15.99,-8.5,1.76,2.05
AZN,AstraZeneca PLC,ATS,2025,,-1.6,1.57,-7.88,-0.66,3.14,7.08,5.96
ZLAB,Zai Lab Limited,UNKNOWN,2025,large,-2.64,4.11,-0.06,5.2,5.5,0.29,0.65
DAWN,Day One Biopharmaceuticals Inc.,ESMO,2025,,-22.33,-8.43,-18.77,-8.43,0.97,1.29,3.07
RCKT,Rocket Pharmaceuticals Inc.,ASGCT,2025,small,-3.81,-1.46,-22.9,-13.92,7.26,8.25,-58.58
MDGL,Madrigal Pharmaceuticals Inc.,EASL,2025,mid,-10.14,-7.1,-11.06,-3.83,0.24,-1.33,-7.83
GILD,Gilead Sciences Inc.,ASCO,2025,large,5.27,3.46,10.14,4.14,2.2,2.03,5.86
MIRM,Mirum Pharmaceuticals Inc.,EASL,2025,mid,-1.82,15.64,10.88,3.55,0.73,-0.51,-2.74
ALGS,Aligos Therapeutics Inc.,EASL,2025,nano,-54.87,-13.32,-25.21,-27.81,2.75,33.03,30.05
GILD,Gilead Sciences Inc.,EASL,2025,large,-9.49,-6.03,-6.83,-4.21,-2.01,1.46,7.93
ABUS,Arbutus Biopharma Corporation,EASL,2025,small,-1.79,3.79,-1.5,-8.86,-1.82,-5.17,-2.13
BRNS,Barinthus Biotherapeutics plc American Depositary Shares,EASL,2025,nano,-6.62,44.14,21.3,-9.19,-12.41,-12.12,-18.17
MNPR,Monopar Therapeutics Inc.,EASL,2025,micro,3.19,34.09,-6.49,-7.27,9.26,-4.31,-8.3
AZN,AstraZeneca PLC,EASL,2025,,-5.84,4.94,2.35,-4.6,-3.48,-4.66,-0.5
PPBT,Purple Biotech Ltd.,AACR,2025,small,-6.26,-4.13,1.24,-5.28,-7.15,-11.5,-11.5
NVCT,Nuvectis Pharma Inc.,AACR,2025,micro,9.43,10.48,8.39,-0.77,-6.87,-15.2,-10.55
PFE,Pfizer Inc.,ASCO,2025,large,6.1,-2.93,2.89,0.73,-0.6,2.04,3.87
SANA,Sana Biotechnology Inc.,ADA,2025,small,44.2,30.5,-8.1,0.77,13.79,4.6,49.04
INCY,Incyte Corporation,EHA,2025,large,8.35,7.01,3.74,-3.06,1.56,1.86,1.45
GMAB,Genmab A/S,EHA,2025,,6.24,14.79,4.82,2.56,-3.46,-9.11,-9.11
BMEA,Biomea Fusion Inc.,EHA,2025,micro,28.57,82.52,81.25,4.82,0.77,-35.25,-31.03
ELVN,Enliven Therapeutics Inc.,EHA,2025,small,-0.96,10.33,10.64,-5.21,17.45,3.2,2.03
SNDX,Syndax Pharmaceuticals Inc.,EHA,2025,small,-22.97,17.46,2.64,-2.33,-5.96,-13.03,-17.06
NRIX,Nurix Therapeutics Inc.,EHA,2025,small,9.54,31.84,18.7,1.04,-5.54,-9.03,-7.84
CABA,Cabaletta Bio Inc.,EULAR,2025,micro,83.59,78.03,25.67,6.33,-23.4,-26.38,-27.66
FATE,Fate Therapeutics Inc.,EULAR,2025,micro,42.74,67.0,31.5,17.61,-16.17,-27.54,-34.13
ANAB,AnaptysBio Inc.,ASCO,2025,small,8.96,16.93,11.44,12.56,-10.14,0.32,-0.57
INAB,IN8bio Inc.,ASCO,2025,nano,-7.87,-12.57,15.28,2.3,-16.63,-30.79,-50.34
ELDN,Eledon Pharmaceuticals Inc.,ASN,2025,micro,63.16,35.23,22.49,-7.36,-48.88,-56.33,-65.51
ARVN,Arvinas Inc.,ASCO,2025,small,-16.28,-6.74,10.94,10.6,-2.78,8.75,2.36
GILD,Gilead Sciences Inc.,ASCO,2025,large,5.3,6.17,7.4,2.52,-0.68,2.65,0.68
MRK,Merck & Company Inc.,ASCO,2025,large,-1.49,-7.62,1.03,-0.95,0.39,3.24,5.36
CLLS,Cellectis S.A.,ASCO,2025,micro,0.69,-8.18,-7.59,-0.68,0.0,-2.05,-4.79
AMGN,Amgen Inc.,ASCO,2025,large,3.93,2.47,5.79,6.08,0.48,0.62,2.56
ALLO,Allogene Therapeutics Inc.,ASCO,2025,micro,-19.31,-31.18,5.41,10.38,15.38,20.51,17.09
XLO,Xilio Therapeutics Inc.,ASCO,2025,micro,42.4,42.67,24.52,21.1,-36.85,-34.58,-35.91
AZN,AstraZeneca PLC,ASCO,2025,,1.22,-3.57,5.24,-1.22,0.69,3.55,4.84
GH,Guardant Health Inc.,ASCO,2025,mid,-9.67,-13.3,-0.12,6.89,12.73,21.94,21.37
THAR,Canton Strategic Holdings Inc Com Par,EASL,2025,,28.32,-5.23,9.02,6.62,7.59,10.34,-8.97
AGEN,Agenus Inc.,ASCO,2025,micro,64.9,10.29,-1.44,-10.21,45.77,61.81,49.85
CATX,Isoray. (DE),ASCO-GI,2026,micro,28.31,10.2,0.0,0.72,-14.23,-17.08,-7.83
BLUE,bluebird bio Inc.,EHA,2017,,35.97,48.5,5.9,8.97,-6.24,-11.35,-20.68
IOVA,Iovance Biotherapeutics Inc.,ASCO,2017,small,-6.06,2.48,6.9,9.73,0.0,-2.42,7.26
BMY,Bristol-Myers Squibb Company,ASCO,2017,large,2.79,-0.33,1.76,1.85,-6.02,-1.11,0.45
BLUE,bluebird bio Inc.,ASCO,2017,,2.12,-6.81,2.06,6.92,16.7,30.48,33.87
MRK,Merck & Company Inc.,ASCO,2017,large,5.8,2.34,2.65,0.86,-1.23,-1.65,-2.74
HALO,Halozyme Therapeutics Inc.,ASCO,2017,small,-4.55,-9.36,-1.78,2.18,0.79,1.34,11.75
AZN,AstraZeneca PLC,ASCO,2017,,18.76,13.81,1.22,3.72,1.82,-0.74,0.95
JNJ,Johnson & Johnson,ASCO,2017,large,6.83,5.32,2.43,2.49,0.58,1.34,3.07
LCTX,"Lineage Cell Therapeutics, Inc.",ARVO,2017,micro,-5.83,-7.81,-10.5,-3.76,-0.65,5.21,8.79
ACTU,Actuate Therapeutics Inc.,ASCO-GI,2026,micro,-11.01,-17.25,-5.1,-3.15,-10.1,-9.45,-11.24
LLY,Eli Lilly and Company,ESMO,2017,large,-1.78,-0.62,3.4,0.31,1.34,1.1,2.91
RNXT,RenovoRx Inc.,ASCO-GI,2026,nano,28.56,5.21,10.99,20.22,10.89,1.98,-1.41
JAZZ,Jazz Pharmaceuticals plc,ASCO-GI,2026,large,-6.37,4.38,-0.06,-0.37,-4.87,1.06,-0.39
ZYME,Zymeworks Inc.,ASCO-GI,2026,small,-0.56,-3.72,-7.24,-5.62,-6.76,-4.91,-6.48
ONC,BeOne Medicines Ltd.,ASCO-GI,2026,large,0.35,4.76,6.9,9.89,1.2,1.32,1.63
AGEN,Agenus Inc.,ESMO,2025,micro,-16.63,-18.18,-10.46,-5.65,-4.56,-10.54,6.84
ATOS,Atossa Therapeutics Inc.,SABCS,2025,micro,-7.2,3.17,11.23,5.63,-12.2,-13.09,-24.72
INTS,Intensity Therapeutics Inc.,SABCS,2025,nano,106.15,7.42,38.75,19.46,-14.55,-24.07,-28.58
NTRA,Natera Inc.,SABCS,2025,large,24.24,13.94,-0.41,-1.13,-1.9,-4.26,0.0
PFE,Pfizer Inc.,SABCS,2025,large,3.39,-0.71,-1.52,-0.94,1.86,-1.14,-1.18
AAPG,Ascentage Pharma Group International,ASH,2025,large,-9.4,-3.36,-2.25,-3.48,-5.84,-5.97,-10.95
NVS,Novartis AG,ASH,2025,large,0.8,2.33,2.87,-1.6,0.78,3.73,6.88
BMY,Bristol-Myers Squibb Company,SITC,2017,large,-5.73,-4.38,0.03,-1.33,0.64,-0.1,2.73
BMY,Bristol-Myers Squibb Company,ASCO,2018,large,3.83,3.51,0.8,0.68,-2.28,-0.02,0.98
BLUE,bluebird bio Inc.,ASH,2017,,21.56,12.78,2.03,5.45,11.57,7.71,5.81
TAK,Takeda Pharmaceutical Company Limited American Depositary Shares (each representing 1/2 of a share of),ASCO-GI,2018,,5.75,4.72,2.85,-0.14,-0.68,2.8,2.39
TGTX,TG Therapeutics Inc.,AAN,2017,small,-14.03,4.37,20.71,16.02,-8.79,-15.9,-1.67
EXEL,Exelixis Inc.,ASCO-GI,2018,mid,12.19,17.07,-0.07,3.69,-9.51,0.07,0.39
