# pdufa.bio conference run-up study, 1,425 presentations 2017-2026. License: CC BY 4.0. Tier column is point-in-time market cap. Returns in percent, anchored on the meeting start date. Not investment advice.
ticker,company,conf,year,cap_tier_pit,runup_30d,runup_20d,runup_10d,runup_5d,event_day,post_5d,post_10d
MRK,Merck & Company Inc.,ASCO,2024,large,3.92,0.29,0.67,0.17,-1.23,-4.24,-0.33
IMMX,Immix Biopharma Inc.,ASGCT,2024,micro,-28.99,-21.01,2.35,-7.23,-0.92,13.3,3.21
FATE,Fate Therapeutics Inc.,ASGCT,2024,small,-49.59,-37.82,-4.39,-9.76,10.27,11.89,-7.3
FDMT,4D Molecular Therapeutics Inc.,ARVO,2024,small,-26.6,-4.95,11.9,-0.19,-2.39,-2.62,-4.48
REGN,Regeneron Pharmaceuticals Inc.,ASGCT,2024,large,0.67,3.61,7.0,7.36,-0.2,0.85,1.43
ANNX,Annexon Inc.,ARVO,2024,small,-27.56,-22.79,8.33,5.71,1.25,0.21,-0.21
VTRS,Viatris Inc.,ARVO,2024,large,-0.51,0.26,4.71,0.0,-0.51,-3.57,-6.03
ACRV,Acrivon Therapeutics Inc.,ACR,2024,micro,96.79,55.13,-5.49,-5.03,-13.75,-16.19,-16.19
NRSN,NeuroSense Therapeutics Ltd.,AAN,2024,nano,-23.08,-4.19,-22.33,-4.76,-11.25,-21.25,-20.63
PBLA,Panbela Therapeutics Inc.,AACR,2024,,-53.51,-22.83,-9.95,-11.03,-18.6,-14.73,-26.1
PFE,Pfizer Inc.,ASCO,2024,large,12.38,17.18,5.04,2.35,-2.43,-3.18,-3.45
BPMC,Blueprint Medicines Corporation,ASCO,2024,,11.34,13.2,-5.2,-3.69,0.1,2.77,0.61
HOOK,HOOKIPA Pharma Inc.,ASCO,2024,,21.74,21.59,22.5,20.84,-18.37,-18.98,-16.43
GMAB,Genmab A/S,UNKNOWN,2024,,0.24,8.56,3.47,0.54,-6.07,-5.4,-6.84
MRUS,Merus N.V.,UNKNOWN,2024,,0.72,-3.41,-3.81,-3.6,38.23,22.67,21.89
IOVA,Iovance Biotherapeutics Inc.,ASCO,2024,mid,-21.68,-10.49,-23.2,-0.96,-3.1,-14.04,-24.69
NBP,NovaBridge Biosciences,ASCO,2024,small,-2.76,-2.76,-2.76,-0.56,-0.57,-5.68,6.82
MOLN,Molecular Partners AG,ASCO,2024,micro,-2.81,-2.06,2.7,-1.81,0.0,-5.26,7.11
CGEM,Cullinan Therapeutics Inc.,ASCO,2024,small,33.22,20.21,-14.83,-2.81,4.28,1.56,-3.2
ELTX,Elicio Therapeutics Inc.,ASCO,2024,micro,-10.41,-2.64,-6.74,-5.54,-5.08,-10.84,-11.63
XLO,Xilio Therapeutics Inc.,ASCO,2024,nano,-15.44,13.86,-8.73,6.48,-8.7,-6.09,-8.7
REGN,Regeneron Pharmaceuticals Inc.,ASCO,2024,large,6.9,10.45,1.63,1.63,0.12,-0.37,1.95
BNTX,BioNTech SE,ASCO,2024,large,17.57,17.98,11.12,10.02,-5.23,-1.66,-1.92
PBYI,Puma Biotechnology Inc,ASCO,2024,micro,-22.95,-13.32,-11.69,-4.08,-5.44,-8.98,-16.55
CUE,Cue Biopharma Inc.,ASCO,2024,micro,8.52,35.46,-0.52,9.77,-14.66,-14.66,-22.51
CADL,Candel Therapeutics Inc.,ASCO,2024,small,45.33,64.54,6.12,-16.69,-26.28,-15.88,-32.42
AFMD,Affimed N.V.,ASCO,2024,,-18.78,-1.64,-8.4,-11.76,-12.71,-9.38,27.92
AGEN,Agenus Inc.,ASCO,2024,micro,34.27,43.49,1.62,13.43,14.36,31.74,39.38
EVAX,Evaxion A/S,ASCO,2024,micro,-2.06,-7.52,1.06,-0.52,6.04,-3.67,-11.02
KYMR,Kymera Therapeutics Inc.,EHA,2024,mid,-3.94,-2.05,8.6,5.79,-8.75,-9.81,-11.24
COGT,Cogent Biosciences Inc.,EHA,2024,small,23.18,20.21,12.11,7.03,-2.0,-1.0,-0.45
SNDX,Syndax Pharmaceuticals Inc.,EHA,2024,small,-5.31,-1.05,7.42,6.15,-3.96,-4.35,4.01
EDIT,Editas Medicine Inc.,EHA,2024,small,-2.31,-6.79,5.58,3.58,-7.65,-7.47,-16.03
GILD,Gilead Sciences Inc.,EHA,2024,large,-2.71,-6.34,-1.1,-1.76,1.12,11.28,7.99
BEAM,Beam Therapeutics Inc.,EHA,2024,mid,11.09,6.09,5.96,8.75,-4.79,-1.62,-8.68
