Tickers with pre-2024 events: 291
Eligible (have market, no historical data yet): 125
[75/125] KALV (NASDAQ)... sent=500 new (1000 total), pc=380 new (722 total)
[76/125] SYRS (NASDAQ)... sent=500 new (814 total), pc=354 new (527 total)
[77/125] VIR (NASDAQ)... sent=0 new (157 total), pc=0 new (75 total)
[78/125] RXRX (NASDAQ)... sent=0 new (157 total), pc=0 new (75 total)
[79/125] IVA (NASDAQ)... sent=0 new (157 total), pc=0 new (0 total)
[80/125] VNDA (NASDAQ)... sent=500 new (1000 total), pc=374 new (661 total)
  [saved cache after 80 tickers]
[81/125] IMNM (NASDAQ)... sent=0 new (157 total), pc=0 new (75 total)
[82/125] STTK (NASDAQ)... sent=0 new (156 total), pc=0 new (75 total)
[83/125] ALLO (NASDAQ)... sent=0 new (157 total), pc=0 new (156 total)
[84/125] IDYA (NASDAQ)... sent=0 new (156 total), pc=0 new (75 total)
[85/125] AQST (NASDAQ)... sent=0 new (157 total), pc=0 new (155 total)
[86/125] ACAD (NASDAQ)... sent=500 new (1000 total), pc=387 new (887 total)
[87/125] VCYT (NASDAQ)... sent=500 new (1000 total), pc=374 new (661 total)
[88/125] ESPR (NASDAQ)... sent=500 new (1000 total), pc=393 new (893 total)
[89/125] CTMX (NASDAQ)... sent=500 new (1000 total), pc=384 new (884 total)
[90/125] ANIK (NASDAQ)... sent=500 new (1000 total), pc=385 new (885 total)
  [saved cache after 90 tickers]
[91/125] LRMR (NASDAQ)... sent=0 new (157 total), pc=0 new (75 total)
[92/125] CRBU (NASDAQ)... sent=0 new (157 total), pc=0 new (76 total)
[93/125] RGNX (NASDAQ)... sent=500 new (1000 total), pc=374 new (664 total)
[94/125] ANAB (NASDAQ)... sent=500 new (1000 total), pc=382 new (882 total)
[95/125] LEXX (NASDAQ)... sent=0 new (157 total), pc=0 new (0 total)
[96/125] IPSC (NASDAQ)... sent=0 new (157 total), pc=0 new (72 total)
[97/125] OCS (NASDAQ)... sent=0 new (157 total), pc=0 new (2 total)
[98/125] MDGL (NASDAQ)... sent=500 new (1000 total), pc=379 new (675 total)
[99/125] CRVS (NASDAQ)... sent=500 new (1000 total), pc=393 new (893 total)
[100/125] ACRS (NASDAQ)... sent=500 new (1000 total), pc=393 new (893 total)
  [saved cache after 100 tickers]
[101/125] BCTX (NASDAQ)... sent=0 new (156 total), pc=0 new (0 total)
[102/125] AVTX (NASDAQ)... sent=0 new (156 total), pc=0 new (152 total)
[103/125] BMEA (NASDAQ)... sent=0 new (157 total), pc=0 new (156 total)
[104/125] APLS (NASDAQ)... sent=0 new (157 total), pc=0 new (156 total)
[105/125] IRWD (NASDAQ)... sent=500 new (1000 total), pc=381 new (811 total)
[106/125] VERU (NASDAQ)... sent=500 new (1000 total), pc=374 new (660 total)
[107/125] LNTH (NASDAQ)... sent=500 new (1000 total), pc=379 new (680 total)
[108/125] IXHL (NASDAQ)... sent=0 new (157 total), pc=0 new (0 total)
[109/125] INM (NASDAQ)... sent=0 new (157 total), pc=0 new (0 total)
[110/125] RANI (NASDAQ)... sent=0 new (157 total), pc=0 new (75 total)
  [saved cache after 110 tickers]
[111/125] UNCY (NASDAQ)... sent=0 new (157 total), pc=0 new (70 total)
[112/125] CLSD (NASDAQ)... sent=500 new (1000 total), pc=385 new (806 total)
[113/125] TARS (NASDAQ)... sent=0 new (157 total), pc=0 new (74 total)
[114/125] GKOS (NASDAQ)... sent=500 new (1000 total), pc=376 new (876 total)
[115/125] CVM (NASDAQ)... sent=0 new (157 total), pc=0 new (21 total)
[116/125] AVXL (NASDAQ)... sent=500 new (1000 total), pc=393 new (893 total)
[117/125] CMMB (NASDAQ)... sent=0 new (156 total), pc=0 new (0 total)
[118/125] ANEB (NASDAQ)... sent=0 new (157 total), pc=0 new (0 total)
[119/125] RDHL (NASDAQ)... sent=500 new (1000 total), pc=278 new (286 total)
[120/125] VRDN (NASDAQ)... sent=0 new (157 total), pc=0 new (75 total)
  [saved cache after 120 tickers]
[121/125] NEUP (NASDAQ)... sent=0 new (157 total), pc=0 new (0 total)
[122/125] KURA (NASDAQ)... sent=500 new (1000 total), pc=382 new (694 total)
[123/125] GPCR (NASDAQ)... sent=0 new (157 total), pc=0 new (75 total)
[124/125] DYAI (NASDAQ)... sent=0 new (157 total), pc=0 new (45 total)
[125/125] MNPR (NASDAQ)... sent=0 new (157 total), pc=0 new (0 total)

Done! Collected historical data for 125 tickers.
Events with sentiment coverage: 1110/1752 (63.4%)
