ticker,company,asset,indication,ta_bucket,pdufa_date,outcome,outcome_bin,v5_score,v5_tier,eve_price,eve_date,runup_30d,runup_21d,runup_14d,runup_7d,runup_5d,runup_3d,post_1d,post_2d,post_5d,vol_ratio,mcap_tier,cache_key,T-90_T-7,T-90_T-3,T-90_T-1,T-60_T-7,T-60_T-3,T-60_T-1,T-45_T-7,T-45_T-3,T-45_T-1,T-25_T-7,T-25_T-3,T-25_T-1,v9_score,v9_tier,therapeutic_area,crl_rate,ta_risk,mcap,T-120_T-1,T-120_T-7,T-120_T-3,T-120_peak
MRK,Merck & Company Inc.,KEYTRUDA (pembrolizumab),NMIBC Bladder cancer,LOW,2020-01-08,APPROVAL,1,0.9464,T1,70.3863525390625,2020-01-07,1.2304657432275774,-0.4686314274993586,-2.449680698250198,-1.924133251306492,-2.246553001297032,-2.246553001297032,-0.6726550238031235,0.2017737445911846,0.8183678601468944,0.9442809118002322,Large (>$10B),MRK_20200108,,,,0.08591740153096343,0.0942393401831116,0.08948391358199677,0.09614247860299638,0.10454277723352502,0.09974257319037065,0.056598282366414225,0.06469553366142233,0.060068500729107535,0.959473,T1,Oncology,0.3010752688172043,HIGH_CRL,large,0.088867,0.114990,0.123535,0.123535
AMGN,Amgen Inc.,TEPEZZA (Teprotumumab),Thyroid Eye Disease (TED),HIGH,2020-01-21,APPROVAL,1,0.9874,T1,199.38145446777344,2020-01-17,-0.6459208194402328,0.1742265391192858,1.449333535921498,0.6208436136035311,0.4116623157922562,0.0,-1.6108320846722688,-1.9628194283421865,-7.677338889049177,1.0845208140054865,Large (>$10B),AMGN_20200121,,,,0.16971326358404593,0.17845344683813685,0.1857697986753195,0.07953067150145773,0.08759700381645985,0.09434927931646936,-0.020476945805702768,-0.013157877738514128,-0.00703113238969362,0.967994,T1,Metabolic/Endocrine,0.32,HIGH_CRL,large,0.371479,0.352908,0.363017,0.381190
LLY,Eli Lilly and Company,"TRIJARDY XR (Empagliflozin, linagliptin and metformin)",Type 2 Diabetes,HIGH,2020-01-27,APPROVAL,1,0.909,T1,129.16452026367188,2020-01-24,5.7405636027555245,5.148978710654808,0.0935673150792129,-0.3653733159070279,-1.7589537080429307,0.0,-0.5464784925467748,0.1365753226903578,0.4098795429517045,1.0391947014354317,Large (>$10B),LLY_20200127,,,,0.2573007003708416,0.25962538112560135,0.2623069368714576,0.21041317032548315,0.21265115858201833,0.2152327131701841,0.06207058169088048,0.06403429255235146,0.06629946385942068,0.878589,T1,Metabolic/Endocrine,0.32,HIGH_CRL,large,0.237057,0.251112,0.253425,0.259207
MRK,Merck & Company Inc.,DIFICID (fidaxomicin),Clostridium difficile infections (CDI),VERY_HIGH,2020-01-27,APPROVAL,1,0.9628,T1,67.84550476074219,2020-01-24,-6.032781314266235,-6.176329053651488,-3.943662276106264,-5.485321848416357,-4.093710419420411,0.0,0.1395422689714625,0.3140010296148076,-0.6280695307111067,1.28700421400891,Large (>$10B),MRK_20200127,,,,0.0660071893853692,0.06648137846662007,0.04976733907532783,0.05964523312133842,0.06011659223087254,0.04350230262425483,-0.01801696114397105,-0.017580148297270125,-0.03297676415169392,0.939815,T1,Infectious Disease,0.3333333333333333,HIGH_CRL,large,0.017876,0.064638,0.065112,0.089618
ESPR,Esperion Therapeutics Inc.,NEXLETOL (bempedoic acid),Hypercholesterolemia,HIGH,2020-02-21,APPROVAL,1,0.965,T1,68.3499984741211,2020-02-20,25.758970364398703,26.38682721876696,10.706181755676369,-3.049647554438165,-3.049647554438165,-2.5520401070769325,-9.64155127974585,-8.03218432528301,-23.4820769500638,1.8949969116738727,Micro ($50M-$300M),ESPR_20200221,,,,0.289900381924311,0.3772221506412738,0.3701895149700603,0.2698076688326322,0.3557692307692308,0.3488461421086238,0.13181348314356947,0.2084333187454184,0.2022625849536806,0.921652,T1,Cardiovascular,0.2222222222222222,LOW_CRL,micro,0.900195,0.835696,0.959967,1.052822
LLY,Eli Lilly and Company,TRULICITY (dulaglutide) - REWIND CV outcomes,Type 2 diabetes,HIGH,2020-02-21,APPROVAL,1,0.909,T1,132.56939697265625,2020-02-20,0.8307562967084261,2.2171103609078147,-2.5093873815503374,0.6235763780590897,0.6235763780590897,0.7020808818688529,0.0281650650063972,-2.7112702156566915,-9.021125295059845,0.7999731348612292,Large (>$10B),LLY_20200221,,,,0.242719281654498,0.21147378913333495,0.21052935831461123,0.16101485233688106,0.13182364123942836,0.13094130343093865,0.03455399104904221,0.008542365199778766,0.007756133999213885,0.896275,T1,Metabolic/Endocrine,0.32,HIGH_CRL,large,0.279625,0.311255,0.271695,0.327836
ESPR,Esperion Therapeutics Inc.,NEXLETOL (bempedoic acid) / Ezetimibe,Hypercholesterolemia,HIGH,2020-02-26,APPROVAL,1,0.965,T1,59.90999984741211,2020-02-25,16.806392626277336,0.7059979107335216,-14.54856749984602,-15.069465452438555,-2.995463931993137,-2.995463931993137,-4.773828438717821,-12.702387964837037,-9.94825421407526,1.9346228103497565,Micro ($50M-$300M),ESPR_20200226,,,,0.43017615359863814,0.3662599158668277,0.21750918671143624,0.3235345962745745,0.26438429392272716,0.12672521202372866,0.313411503639365,0.25471361408563703,0.11810742165553786,0.93354,T1,Cardiovascular,0.2105263157894736,LOW_CRL,micro,0.715636,1.114548,0.957331,1.114548
PBYI,Puma Biotechnology Inc,NERLYNX (neratinib) - NALA,Third-line HER2-positive metastatic breast cancer,LOW,2020-02-26,APPROVAL,1,0.8431,T2,11.3100004196167,2020-02-25,40.49689629366629,-22.374738115921765,-9.808608819601398,-18.808326117448857,-16.83823454132544,-16.83823454132544,-6.189219601843096,-11.317423865214035,-7.692314827189752,0.9236299963196086,Micro ($50M-$300M),PBYI_20200226,,,,0.146318799205775,0.2982293475729743,0.1696179614299605,0.2947368621826172,0.46631582159745066,0.3210526516563014,0.2563840897509819,0.42288052701270334,0.2819203513418022,0.877197,T1,Oncology,0.2916666666666667,HIGH_CRL,micro,0.084372,0.179291,0.338447,0.396453
EGRX,Eagle Pharmaceuticals Inc.,Barhemsys (amisulpride),Postoperative nausea and vomiting (PONV),VERY_HIGH,2020-02-26,APPROVAL,1,0.8935,T1,49.31999969482422,2020-02-25,-12.382307882998242,-14.553016888824974,-11.612902564221764,-6.714581631889571,-5.462906985144543,-5.462906985144543,-1.2773744363614594,-4.8459030909103005,-10.806970902955555,0.9522235792801208,Small ($300M-$2B),EGRX_20200226,,,,-0.05442057448079,-0.06886227424220681,-0.10003523119565165,-0.11109276042476526,-0.12466891396961051,-0.1539735565697485,-0.08017818041485895,-0.09422648793292354,-0.12455029280105769,0.882191,T1,GI/Hepatology,0.32,HIGH_CRL,small,-0.110390,-0.031566,-0.056638,0.159993
PFE,Pfizer Inc.,NURTEC ODT (rimegepant),Acute treatment of migraine,HIGH,2020-02-27,APPROVAL,1,0.8865,T1,24.639055252075195,2020-02-26,-8.037050687058137,-9.252449516868642,-5.984294570041693,-3.1520148347750245,-2.799536795279465,0.1442320066211057,-1.785738476838566,-3.7442596397372623,4.838681584500836,1.4262943660484184,Large (>$10B),PFE_20200227,,,,-0.036746921269725966,-0.05415999718057395,-0.08529238887571912,-0.06197978926370321,-0.0789367214512353,-0.10925358548565824,-0.08569777421376887,-0.10222594776921619,-0.13177624524497486,0.849468,T2,CNS/Neurology,0.2325581395348837,LOW_CRL,large,-0.030980,0.018979,-0.003070,0.136199
