ticker,best_date,date_source,confidence,guided_date,guided_precision,guided_form,guided_filed,pcd,pcd_type,days_to_pcd,bucket,status,phase,enroll,enroll_type,nct,company,title
PHVS,2026-08-31,CTGOV,medium,,,,,2026-08-31,ESTIMATED,29,SOON (<=60d),ACTIVE_NOT_RECRUITING,PHASE3,81,ESTIMATED,NCT06669754,Pharvaris N.V.,Study of Oral Deucrictibant Extended-Release Tablet for Prophylaxis Ag
RCUS,2026-08-31,CTGOV,medium,,,,,2026-08-31,ESTIMATED,29,SOON (<=60d),ACTIVE_NOT_RECRUITING,PHASE3,1040,ACTUAL,NCT05568095,"Arcus Biosciences, Inc.","A Clinical Trial of a New Combination Treatment, Domvanalimab and Zimb"
SLGL,2026-08-31,CTGOV,medium,,,,,2026-08-31,ESTIMATED,29,SOON (<=60d),ACTIVE_NOT_RECRUITING,PHASE3,140,ESTIMATED,NCT06050122,Sol-Gel Technologies Ltd.,Efficacy and Safety of Patidegib Gel 2% for Preventing Basal Cell Carc
TENX,2026-08-31,BOTH,high,2026-08-31,month,EX-99.1,2026-07-31,2026-06-30,ACTUAL,-33,DATA PENDING (lock passed),ACTIVE_NOT_RECRUITING,PHASE3,230,ESTIMATED,NCT05983250,"TENAX THERAPEUTICS, INC.",LEVosimendan to Improve Exercise Limitation in Patients With PH-HFpEF
VSTM,2026-08-31,CTGOV,medium,,,,,2026-08-31,ESTIMATED,29,SOON (<=60d),ACTIVE_NOT_RECRUITING,"PHASE1,PHASE2",40,ESTIMATED,NCT05669482,"Verastem, Inc.",Study of Avutometinib (VS-6766) +Defactinib With Gemcitabine and Nab-p
ALZN,2026-08-31,EDGAR,medium,2026-08-31,month,10-K,2026-07-22,,,,GUIDED (company statement),,,,,,"Alzamend Neuro, Inc.",
ONC,2026-09-22,CTGOV,medium,,,,,2026-09-22,ESTIMATED,51,SOON (<=60d),ACTIVE_NOT_RECRUITING,PHASE2,114,ACTUAL,NCT05952037,BeOne Medicines Ltd.,A Study to Investigate Efficacy and Safety of BCL2 Inhibitor Sonrotocl
MLTX,2026-09-28,CTGOV,medium,,,,,2026-09-28,ESTIMATED,57,SOON (<=60d),ACTIVE_NOT_RECRUITING,PHASE3,35,ESTIMATED,NCT06768671,MoonLake Immunotherapeutics,"An Open-label, Single-arm Study to Evaluate Pharmacokinetics and Safet"
APGE,2026-09-30,CTGOV,medium,,,,,2026-09-30,ESTIMATED,59,SOON (<=60d),ACTIVE_NOT_RECRUITING,PHASE1,31,ACTUAL,NCT06920901,"Apogee Therapeutics, Inc.","A Study to Evaluate the Safety, Tolerability, Pharmacokinetics (PK), a"
AVIR,2026-09-30,CTGOV,medium,,,,,2026-09-30,ESTIMATED,59,SOON (<=60d),ACTIVE_NOT_RECRUITING,PHASE3,880,ESTIMATED,NCT06868264,"Atea Pharmaceuticals, Inc.",C-BEYOND: Efficacy and Safety of BEM/RZR vs. SOF/VEL in Subjects With 
BHVN,2026-09-30,CTGOV,medium,,,,,2026-09-30,ESTIMATED,59,SOON (<=60d),ACTIVE_NOT_RECRUITING,PHASE2,150,ESTIMATED,NCT07281495,Biohaven Ltd.,Taldefgrobep Alfa in Adults With Overweight and Obesity
CGEM,2026-09-30,CTGOV,medium,,,,,2026-09-30,ESTIMATED,59,SOON (<=60d),ACTIVE_NOT_RECRUITING,PHASE1,30,ESTIMATED,NCT06381141,"Cullinan Therapeutics, Inc.",A Study of CLN-619 (Anti-MICA/MICB Antibody) in Patients With Relapsed
IBRX,2026-09-30,CTGOV,medium,,,,,2026-09-30,ESTIMATED,59,SOON (<=60d),ACTIVE_NOT_RECRUITING,"PHASE1,PHASE2",369,ACTUAL,NCT02138734,"ImmunityBio, Inc.",A Study of Intravesical BCG in Combination With ALT-803 in Patients Wi
IRON,2026-09-30,BOTH,high,2026-09-30,quarter,EX-99.1,2026-07-30,2026-09-30,ESTIMATED,59,SOON (<=60d),ACTIVE_NOT_RECRUITING,PHASE3,183,ACTUAL,NCT06910358,"Disc Medicine, Inc.",Study of Bitopertin in Participants With EPP or XLP (APOLLO)
RGNX,2026-09-30,CTGOV,medium,,,,,2026-09-30,ESTIMATED,59,SOON (<=60d),ACTIVE_NOT_RECRUITING,"PHASE2,PHASE3",65,ESTIMATED,NCT05693142,REGENXBIO Inc.,AFFINITY DUCHENNE: RGX-202 Gene Therapy in Participants With Duchenne 
SLN,2026-09-30,CTGOV,medium,,,,,2026-09-30,ESTIMATED,59,SOON (<=60d),ACTIVE_NOT_RECRUITING,"PHASE1,PHASE2",69,ACTUAL,NCT05499013,Silence Therapeutics plc,Study to Assess SLN124 in Patients With Polycythemia Vera
TLSA,2026-09-30,CTGOV,medium,,,,,2026-09-30,ESTIMATED,59,SOON (<=60d),ACTIVE_NOT_RECRUITING,PHASE2,54,ESTIMATED,NCT06292923,Tiziana Life Sciences Ltd,A Study of Nasal Foralumab in Non-Active Secondary Progressive Multipl
TNGX,2026-09-30,CTGOV,medium,,,,,2026-09-30,ESTIMATED,59,SOON (<=60d),ACTIVE_NOT_RECRUITING,"PHASE1,PHASE2",126,ESTIMATED,NCT05887492,"Tango Therapeutics, Inc.",Study of TNG260 and an Anti-PD Antibody in STK11 Mutated Solid Tumors
VERA,2026-09-30,CTGOV,medium,,,,,2026-09-30,ESTIMATED,59,SOON (<=60d),ACTIVE_NOT_RECRUITING,PHASE2,90,ESTIMATED,NCT07020923,"Vera Therapeutics, Inc.",Monthly Dosing of Atacicept in IgAN
VNDA,2026-09-30,CTGOV,medium,,,,,2026-09-30,ESTIMATED,59,SOON (<=60d),ACTIVE_NOT_RECRUITING,PHASE2,50,ESTIMATED,NCT07065773,Vanda Pharmaceuticals Inc.,"Safety, Tolerability and Efficacy of Trichostatin A in Patients With M"
WVE,2026-09-30,CTGOV,medium,,,,,2026-09-30,ESTIMATED,59,SOON (<=60d),ACTIVE_NOT_RECRUITING,"PHASE1,PHASE2",24,ESTIMATED,NCT06405633,Wave Life Sciences Ltd.,"A Phase 1b/2a, Open-label Single Ascending Doses and Multiple Ascendin"
MBRX,2026-09-30,EDGAR,medium,2026-09-30,month,EX-99.1,2026-07-31,,,,GUIDED (company statement),,,,,,"Moleculin Biotech, Inc.",
BSEM,2026-09-30,EDGAR,medium,2026-09-30,quarter,S-1,2026-07-29,,,,GUIDED (company statement),,,,,,"BioStem Technologies, Inc.",
MSLE,2026-09-30,EDGAR,medium,2026-09-30,quarter,EX-99.2,2026-07-08,,,,GUIDED (company statement),,,,,,Satellos Bioscience Inc.,
SLDB,2026-10-15,CTGOV,medium,,,,,2026-10-15,ESTIMATED,74,UPCOMING (<=6mo),ACTIVE_NOT_RECRUITING,"PHASE1,PHASE2",12,ACTUAL,NCT03368742,Solid Biosciences Inc.,Microdystrophin Gene Transfer Study in Adolescents and Children With D
ABOS,2026-10-31,CTGOV,medium,,,,,2026-10-31,ESTIMATED,90,UPCOMING (<=6mo),ACTIVE_NOT_RECRUITING,PHASE2,542,ACTUAL,NCT06335173,"Acumen Pharmaceuticals, Inc.",A Study to Evaluate Efficacy and Safety of Intravenous Sabirnetug in P
ANNX,2026-10-31,CTGOV,medium,,,,,2026-10-31,ESTIMATED,90,UPCOMING (<=6mo),ACTIVE_NOT_RECRUITING,PHASE3,659,ACTUAL,NCT06510816,"Annexon, Inc.",A Study Investigating the Efficacy and Safety of Intravitreal (IVT) In
IDYA,2026-10-31,CTGOV,medium,,,,,2026-10-31,ESTIMATED,90,UPCOMING (<=6mo),ACTIVE_NOT_RECRUITING,PHASE1,216,ESTIMATED,NCT05787587,"IDEAYA Biosciences, Inc.",A Study of PARG Inhibitor IDE161 in Participants With Advanced Solid T
IMCR,2026-10-31,CTGOV,medium,,,,,2026-10-31,ESTIMATED,90,UPCOMING (<=6mo),ACTIVE_NOT_RECRUITING,"PHASE1,PHASE2",410,ACTUAL,NCT04262466,Immunocore Holdings plc,Safety and Efficacy of IMC-F106C as a Single Agent and in Combination 
IMVT,2026-10-31,CTGOV,medium,,,,,2026-10-31,ESTIMATED,90,UPCOMING (<=6mo),ACTIVE_NOT_RECRUITING,PHASE2,56,ESTIMATED,NCT06980805,"Immunovant, Inc.","A Study to Assess the Safety, Tolerability, and Efficacy of IMVT-1402 "
JBIO,2026-10-31,CTGOV,medium,,,,,2026-10-31,ESTIMATED,90,UPCOMING (<=6mo),ACTIVE_NOT_RECRUITING,PHASE1,32,ACTUAL,NCT07059312,"Jade Biosciences, Inc.",A Phase 1 Study of JADE101 in Healthy Participants
PHAT,2026-10-31,CTGOV,medium,,,,,2026-10-31,ESTIMATED,90,UPCOMING (<=6mo),ACTIVE_NOT_RECRUITING,PHASE2,95,ACTUAL,NCT06851559,"Phathom Pharmaceuticals, Inc.",A Study in Adult Participants With EoE to Evaluate Vonoprazan 20 mg Co
TGTX,2026-10-31,CTGOV,medium,,,,,2026-10-31,ESTIMATED,90,UPCOMING (<=6mo),ACTIVE_NOT_RECRUITING,PHASE3,360,ESTIMATED,NCT07211633,"TG THERAPEUTICS, INC.","A Study to Evaluate the Pharmacokinetics, Pharmacodynamics, Safety, Ra"
VTRS,2026-10-31,CTGOV,medium,,,,,2026-10-31,ESTIMATED,90,UPCOMING (<=6mo),ACTIVE_NOT_RECRUITING,PHASE3,470,ACTUAL,NCT05648500,Viatris Inc,A Research Study to Evaluate the Effects of a New Oral Medicine Called
ERAS,2026-11-01,CTGOV,medium,,,,,2026-11-01,ESTIMATED,91,UPCOMING (<=6mo),ACTIVE_NOT_RECRUITING,"PHASE1,PHASE2",200,ESTIMATED,NCT04866134,"Erasca, Inc.",A Study of ERAS-007 as Monotherapy or in Combination With ERAS-601 in 
SKYE,2026-11-20,CTGOV,medium,,,,,2026-11-20,ESTIMATED,110,UPCOMING (<=6mo),ACTIVE_NOT_RECRUITING,PHASE2,136,ACTUAL,NCT06577090,"Skye Bioscience, Inc.",Study to Evaluate the Effect on Obesity of QW Nimacimab and QW Nimacim
TECX,2026-11-24,CTGOV,medium,,,,,2026-11-24,ESTIMATED,114,UPCOMING (<=6mo),ACTIVE_NOT_RECRUITING,PHASE2,191,ESTIMATED,NCT06616974,"Tectonic Therapeutic, Inc.",A Study of TX000045 in Patients With Pulmonary Hypertension Secondary 
ATOS,2026-11-30,CTGOV,medium,,,,,2026-11-30,ESTIMATED,120,UPCOMING (<=6mo),ACTIVE_NOT_RECRUITING,PHASE2,87,ESTIMATED,NCT05607004,"ATOSSA THERAPEUTICS, INC.",(Z)-Endoxifen for the Treatment of Premenopausal Women With ER+/HER2- 
CGON,2026-11-30,CTGOV,medium,,,,,2026-11-30,ESTIMATED,120,UPCOMING (<=6mo),ACTIVE_NOT_RECRUITING,PHASE3,367,ACTUAL,NCT06111235,"CG Oncology, Inc.",A Study of Adjuvant Cretostimogene Grenadenorepvec for Treatment of In
CRDF,2026-11-30,CTGOV,medium,,,,,2026-11-30,ESTIMATED,120,UPCOMING (<=6mo),ACTIVE_NOT_RECRUITING,PHASE2,110,ACTUAL,NCT06106308,"Cardiff Oncology, Inc.",Study of Onvansertib in Combination With FOLFIRI and Bevacizumab or FO
DBVT,2026-11-30,CTGOV,medium,,,,,2026-11-30,ESTIMATED,120,UPCOMING (<=6mo),ACTIVE_NOT_RECRUITING,PHASE3,480,ESTIMATED,NCT07003919,DBV Technologies S.A.,Safety Study of Viaskin® Peanut Patch in Peanut-Allergic Children 1 Th
IMUX,2026-11-30,CTGOV,medium,,,,,2026-11-30,ESTIMATED,120,UPCOMING (<=6mo),ACTIVE_NOT_RECRUITING,PHASE3,1121,ACTUAL,NCT05134441,"IMMUNIC, INC.","Study to Evaluate the Efficacy, Safety, and Tolerability of IMU-838 in"
PHAR,2026-11-30,CTGOV,medium,,,,,2026-11-30,ESTIMATED,120,UPCOMING (<=6mo),ACTIVE_NOT_RECRUITING,PHASE3,15,ESTIMATED,NCT05438407,Pharming Group N.V.,Pediatric Patients Aged 4 to 11 Years With APDS
TYRA,2026-11-30,CTGOV,medium,,,,,2026-11-30,ESTIMATED,120,UPCOMING (<=6mo),ACTIVE_NOT_RECRUITING,"PHASE1,PHASE2",310,ESTIMATED,NCT05544552,"Tyra Biosciences, Inc.",Safety and Preliminary Anti-Tumor Activity of TYRA-300 in Advanced Uro
VIR,2026-11-30,CTGOV,medium,,,,,2026-11-30,ESTIMATED,120,UPCOMING (<=6mo),ACTIVE_NOT_RECRUITING,PHASE2,100,ESTIMATED,NCT07142811,"Vir Biotechnology, Inc.",A Study to Evaluate Tobevibart+Elebsiran Versus Bulevirtide in Chronic
ZURA,2026-11-30,CTGOV,medium,,,,,2026-11-30,ESTIMATED,120,UPCOMING (<=6mo),ACTIVE_NOT_RECRUITING,PHASE2,225,ESTIMATED,NCT06993610,Zura Bio Ltd,Tibulizumab Skin Healing and Inflammation Evaluation for Lasting Defen
CMPX,2026-12-01,CTGOV,medium,,,,,2026-12-01,ESTIMATED,121,UPCOMING (<=6mo),ACTIVE_NOT_RECRUITING,"PHASE2,PHASE3",168,ACTUAL,NCT05506943,"Compass Therapeutics, Inc.",A Study of CTX-009 in Combination With Paclitaxel in Adult Patients Wi
TCRX,2026-12-30,CTGOV,medium,,,,,2026-12-30,ESTIMATED,150,UPCOMING (<=6mo),ACTIVE_NOT_RECRUITING,PHASE1,840,ESTIMATED,NCT05973487,"TScan Therapeutics, Inc.",A Basket Study of Customized Autologous TCR-T Cell Therapies in Patien
BCDA,2026-12-31,CTGOV,medium,,,,,2026-12-31,ESTIMATED,151,UPCOMING (<=6mo),ACTIVE_NOT_RECRUITING,"PHASE1,PHASE2",39,ESTIMATED,NCT05925608,"BioCardia, Inc.",Clinical Trial of Human Allogenic Culture-expanded Bone Marrow-derived
BEAM,2026-12-31,CTGOV,medium,,,,,2026-12-31,ESTIMATED,151,UPCOMING (<=6mo),ACTIVE_NOT_RECRUITING,"PHASE1,PHASE2",5,ACTUAL,NCT05885464,Beam Therapeutics Inc.,A Study Evaluating the Safety and Efficacy of BEAM-201 in Relapsed/Ref
DNLI,2026-12-31,CTGOV,medium,,,,,2026-12-31,ESTIMATED,151,UPCOMING (<=6mo),ACTIVE_NOT_RECRUITING,"PHASE1,PHASE2",85,ACTUAL,NCT05262023,Denali Therapeutics Inc.,"A Study to Evaluate the Safety, Tolerability, Pharmacokinetics, and Ph"
EWTX,2026-12-31,BOTH,high,2026-12-31,quarter,EX-99.1,2026-07-13,2026-09-30,ESTIMATED,59,SOON (<=60d),ACTIVE_NOT_RECRUITING,PHASE2,244,ACTUAL,NCT05291091,"Edgewise Therapeutics, Inc.",Phase 2 Study of EDG-5506 in Becker Muscular Dystrophy (GRAND CANYON)
INO,2026-12-31,CTGOV,medium,,,,,2026-12-31,ESTIMATED,151,UPCOMING (<=6mo),ACTIVE_NOT_RECRUITING,"PHASE1,PHASE2",52,ACTUAL,NCT03491683,"INOVIO PHARMACEUTICALS, INC.",INO-5401 and INO-9012 Delivered by Electroporation (EP) in Combination
INSM,2026-12-31,CTGOV,medium,,,,,2026-12-31,ESTIMATED,151,UPCOMING (<=6mo),ACTIVE_NOT_RECRUITING,"PHASE2,PHASE3",91,ACTUAL,NCT05649748,INSMED Inc,An Extension Study of Treprostinil Palmitil Inhalation Powder (TPIP) f
LXEO,2026-12-31,CTGOV,medium,,,,,2026-12-31,ESTIMATED,151,UPCOMING (<=6mo),ACTIVE_NOT_RECRUITING,"PHASE1,PHASE2",10,ESTIMATED,NCT06109181,"Lexeo Therapeutics, Inc.",Gene Therapy for ACM Due to a PKP2 Pathogenic Variant
MANE,2026-12-31,BOTH,high,2026-12-31,half,EX-99.1,2026-07-15,2026-08-31,ESTIMATED,29,SOON (<=60d),ACTIVE_NOT_RECRUITING,PHASE2,70,ESTIMATED,NCT06527365,"Veradermics, Inc",Safety and Efficacy of VDPHL01 in Males and Females With AGA
MDGL,2026-12-31,CTGOV,medium,,,,,2026-12-31,ESTIMATED,151,UPCOMING (<=6mo),ACTIVE_NOT_RECRUITING,PHASE3,845,ESTIMATED,NCT05500222,"MADRIGAL PHARMACEUTICALS, INC.",A Phase 3 Study to Evaluate the Effect of Resmetirom on Clinical Outco
MOLN,2026-12-31,BOTH,high,2026-12-31,year,EX-99.1,2026-07-02,2026-05-29,ACTUAL,-65,DATA PENDING (lock passed),ACTIVE_NOT_RECRUITING,"PHASE1,PHASE2",249,ESTIMATED,NCT05673057,MOLECULAR PARTNERS AG,Study of MP0533 in Patients Acute Myeloid Leukemia or Myelodysplastic 
PFE,2026-12-31,CTGOV,medium,,,,,2026-12-31,ESTIMATED,151,UPCOMING (<=6mo),ACTIVE_NOT_RECRUITING,"PHASE1,PHASE2",11,ACTUAL,NCT06125522,PFIZER INC,TACTIVE-U: A Study to Learn About the Study Medicine (Vepdegestrant) W
QURE,2026-12-31,BOTH,high,2026-12-31,half,EX-99.1,2026-07-29,2026-09-30,ESTIMATED,59,SOON (<=60d),ACTIVE_NOT_RECRUITING,"PHASE1,PHASE2",20,ESTIMATED,NCT06100276,uniQure N.V.,"Safety, Tolerability, and Exploratory Efficacy Study of Intrathecally "
SNDX,2026-12-31,BOTH,high,2026-12-31,quarter,EX-99.1,2026-07-14,2026-09-30,ESTIMATED,59,SOON (<=60d),ACTIVE_NOT_RECRUITING,PHASE2,145,ACTUAL,NCT06132256,Syndax Pharmaceuticals Inc,MAXPIRe: Study to Evaluate Axatilimab in Participants With Idiopathic 
