ticker,best_date,date_source,confidence,guided_date,guided_precision,guided_form,guided_filed,pcd,pcd_type,days_to_pcd,bucket,status,phase,enroll,enroll_type,nct,company,title
LBRX,2027-06-30,EDGAR,medium,2027-06-30,half,EX-99.1,2026-07-22,,,,GUIDED (company statement),,,,,,LB PHARMACEUTICALS INC,
TARS,2027-06-30,EDGAR,medium,2027-06-30,half,EX-99.1,2026-07-08,,,,GUIDED (company statement),,,,,,"Tarsus Pharmaceuticals, Inc.",
VKTX,2027-07-01,CTGOV,medium,,,,,2027-07-01,ESTIMATED,333,SCHEDULED (>6mo),ACTIVE_NOT_RECRUITING,PHASE3,1100,ESTIMATED,NCT07104383,"Viking Therapeutics, Inc.",VK2735 for Weight Management Type 2 Diabetes Phase 3 (VANQUISH 2)
EVMN,2027-12-31,BOTH,high,2027-12-31,year,EX-99.1,2026-07-30,2026-07-31,ESTIMATED,-2,DATA PENDING (lock passed),ACTIVE_NOT_RECRUITING,PHASE2,120,ESTIMATED,NCT07150845,"Evommune, Inc.",Phase 2b Study of EVO756 in Adults With Atopic Dermatitis
IONS,2027-12-31,BOTH,high,2027-12-31,half,EX-99.1,2026-07-29,2026-06-17,ACTUAL,-46,DATA PENDING (lock passed),ACTIVE_NOT_RECRUITING,PHASE3,89,ACTUAL,NCT04768972,IONIS PHARMACEUTICALS INC,"FUSION: A Study to Evaluate the Efficacy, Safety, Pharmacokinetics and"
VXRT,2027-12-31,BOTH,high,2027-12-31,year,EX-99.1,2026-07-17,2026-04-14,ACTUAL,-110,REPORTED/IMMINENT,COMPLETED,PHASE1,60,ACTUAL,NCT06944717,"Vaxart, Inc.",A Trial of a Norovirus G1.1 and G2.4 Vaccine Administered Orally to He
PCSA,2027-12-31,EDGAR,medium,2027-12-31,year,EX-99.1,2026-07-29,,,,GUIDED (company statement),,,,,,"Processa Pharmaceuticals, Inc.",
VYNE,2027-12-31,EDGAR,medium,2027-12-31,half,EX-99.1,2026-07-28,,,,GUIDED (company statement),,,,,,"Yarrow Bioscience, Inc.",
MPLT,2027-12-31,EDGAR,medium,2027-12-31,half,EX-99.2,2026-07-27,,,,GUIDED (company statement),,,,,,"MapLight Therapeutics, Inc.",
KLRS,2027-12-31,EDGAR,medium,2027-12-31,quarter,EX-99.2,2026-07-17,,,,GUIDED (company statement),,,,,,"Kalaris Therapeutics, Inc.",
