ticker,catalyst_date,asset,indication
CYTK,2025-12-19,MYQORZO (Aficamten (CK-274)) - (SEQUOIA-HCM),Hypertrophic cardiomyopathy (HCM)
JNJ,2025-12-18,RYBREVANT FASPRO (amivantamab and hyaluronidase-lpuj),Advanced EGFR-mutated Non-Small Cell Lung Cancer
COCP,2025-12-18,CDI-988,Norovirus
ALPMY,2025-12-17,KEYTRUDA (pembrolizumab) plus Padcev  (enfortumab vedotin-ejfv) - (KEYNOTE-B15/EV-304),Muscle-invasive bladder cancer (MIBC)
MRK,2025-12-17,KEYTRUDA (pembrolizumab) plus Padcev  (enfortumab vedotin-ejfv) - (KEYNOTE-B15/EV-304),Muscle-invasive bladder cancer (MIBC)
PFE,2025-12-17,KEYTRUDA (pembrolizumab) plus Padcev  (enfortumab vedotin-ejfv) - (KEYNOTE-B15/EV-304),Muscle-invasive bladder cancer (MIBC)
GILD,2025-12-16,Exdensur (depemokimab),Severe asthma
AMPH,2025-12-15,"Teriparatide injection, USP 560 mcg/2.24mL (250 mcg/mL) (FORTEO bioequivalent)",Osteoporosis
INVA,2025-12-15,NUZOLVENCE (zoliflodacin),Uncomplicated gonorrhea
AZN,2025-12-15,Enhertu (trastuzumab deruxtecan) with pertuzumab - (DESTINY-Breast09),Early HER2+ Metastatic Breast Cancer
JNJ,2025-12-15,AKEEGA (niraparib and abiraterone acetate dual-action tablet) plus prednisone,BRCA2-mutated metastatic castration-sensitive prostate cancer (mCSPC)
MIST,2025-12-15,CARDAMYST (etripamil),Paroxysmal supraventricular tachycardia (PSVT)
DSNKY,2025-12-15,Enhertu (trastuzumab deruxtecan) with pertuzumab - (DESTINY-Breast09),Early HER2+ Metastatic Breast Cancer
WOCK,2025-12-12,Nuzolvence (zoliflodacin),Uncomplicated urogenital gonorrhea
ELI ,2025-12-12,Lerochol (lerodalcibep-liga),Hypercholesterolemia (familial)
MILE,2025-12-12,Cardamyst (etripamil),Paroxysmal supraventricular tachycardia
BCRX,2025-12-12,ORLADEYO (berotralstat),Pediatric patients with hereditary angioedema (HAE)
ACAD,2025-12-12,DAYBUE STIX (trofinetide),Rett Syndrome
GSK,2025-12-11,Blujepa (gepotidacin),Uncomplicated urogenital gonorrhoea in patients 12 years of age and older
AMGN,2025-12-11,UPLIZNA (Inebilizumab) - (MINT),Myasthenia gravis
AAPG,2025-12-09,Olverembatinib - (POLARIS-1),Acute lymphoblastic leukemia (ALL)
LYEL,2025-12-08,LYL314 (IMPT-314),Large B-cell lymphoma
ONC,2025-12-08,Sonrotoclax,R/R MCL
AUTL,2025-12-08,Obe-cel - (CATULUS),pediatric relapsed or refractory (r/r) B-ALL
ALXO,2025-12-08,ALX148 (evorpacept) + rituximab and lenalidomide,Non-Hodgkin lymphoma (NHL)
NRIX,2025-12-08,NX-5948-301,B-cell malignancies / graft-versus-host disease
GLPG,2025-12-07,GLPG5101 - (ATALANTA-1),Relapsed/refractory Non-Hodgkin Lymphoma (rrNHL)
CASI,2025-12-07,CID-103,Immune Thrombocytopenia (ITP)
IMMX,2025-12-07,NXC-201 (HBI10101) - (NEXICART-2),Relapsed/refractory AL Amyloidosis
CLLS,2025-12-07,UCART20x22 - (NatHaLi-01),Non-Hodgkin Lymphoma
PRTC,2025-12-05,LYT-200,Relapsed/refractory AML and MDS
PLRX,2025-12-04,PLN-101095,Solid Tumors
BMY,2025-12-04,Breyanzi (lisocabtagene maraleucel),Relapsed or refractory marginal zone lymphoma (MZL)
AXGN,2025-12-04,Avance Nerve Graf - (RECON),Severed peripheral nerves
LLY,2025-12-03,Jaypirca (pirtobrutinib),Relapsed or refractory CLL/SLL
AMRN,2025-12-02,Albuterol sulfate inhalation (PROAIR HFA generic),Bronchospasm related to exercise-induced or reversible obstructive airway disease
JANX,2025-12-01,PSMA-TRACTr (JANX007) - (ENGAGER-PSMA-01),Metastatic castration-resistant prostate cancer (mCPRC)
AMRX,2025-12-01,RESTASIS (Cyclosporine Ophthalmic Emulsion),Ocular inflammation associated with dry eye syndrome
AZN,2025-11-25,Imfinzi (durvalumab) and FLOT Chemotherapy - (MATTERHORN),Resectable Gastric and Gastroesophageal Junction Cancer
SRPT,2025-11-25,SRP-9001-103 - (ENDEAVOR),Duchenne muscular dystrophy (DMD)
RHHBY,2025-11-25,SRP-9001-103 - (ENDEAVOR),Duchenne muscular dystrophy (DMD)
OTSU,2025-11-25,Voyxact (sibeprenlimab-szsi),Primary IgA nephropathy
NVS,2025-11-24,Itvisma (onasemnogene abeparvovec-brve),Spinal muscular atrophy (SMA)
PFE,2025-11-21,PADCEV (enfortumab vedotin) + KEYTRUDA (pembrolizumab) - (EV-303 / KEYNOTE-905),Muscle-invasive bladder cancer (MIBC)
ALPMY,2025-11-21,PADCEV (enfortumab vedotin) + KEYTRUDA (pembrolizumab) - (EV-303 / KEYNOTE-905),Muscle-invasive bladder cancer (MIBC)
MRK,2025-11-21,PADCEV (enfortumab vedotin) + KEYTRUDA (pembrolizumab) - (EV-303 / KEYNOTE-905),Muscle-invasive bladder cancer (MIBC)
AZN,2025-11-20,Koselugo (selumetinib),Neurofibromatosis Type 1-Plexiform Neurofibromas (NF1-PN) in Adults
BAYRY,2025-11-20,HYRNUO (sevabertinib),HER2-Mutated Locally Advanced or Metastatic Non-Squamous Non-Small Cell Lung Cancer
REGN,2025-11-19,EYLEA HD (aflibercept) Injection 8 mg - (QUASAR),Retinal Vein Occlusion
TARA,2025-11-19,TARA-002 - (STARBORN-1),Pediatric patients with lymphatic malformations (LMs)
BAYE,2025-11-19,Hyrnuo (sevabertinib),Non-squamous NSCLC (HER2 mutations)
AMGN,2025-11-19,Tarlatamab (AMG 757) - (DeLLphi-304),Small cell lung cancer (SCLC)
ABBV,2025-11-18,EPKINLY (epcoritamab-bysp) in Combination with Rituximab and Lenalidomide,Follicular lymphoma (FL)
GMAB,2025-11-18,EPKINLY (epcoritamab-bysp) in Combination with Rituximab and Lenalidomide,Follicular lymphoma (FL)
KZIA,2025-11-18,Paxalisib,Triple-Negative Breast Cancer (TNBC)
ARWR,2025-11-18,REDEMPLO (plozasiran),"Familial chylomicronemia syndrome (FCS), Hypertriglyceridemia"
OGN,2025-11-17,POHERDY (pertuzumab-dpzb) - (PERJETA (pertuzumab) Biosimilar),HER2-positive breast cancers
KURA,2025-11-13,KOMZIFTI (ziftomenib),Relapsed or Refractory NPM1-Mutated Acute Myeloid Leukemia (AML)
AMRX,2025-11-13,Iohexol injection (300 mg Iodine/mL),Contrast agent
ENGN,2025-11-11,Detalimogene voraplasmid (EG-70) - (LEGEND),BCG-unresponsive non-muscle invasive bladder cancer (NMIBC)
BCAB,2025-11-07,Mecbotamab Vedotin (BA3011),Solid Tumors
JNJ,2025-11-07,DARZALEX FASPRO,High-risk smoldering multiple myeloma (HR-SMM)
RPRX,2025-11-07,Aficamten (CK-274) - (MAPLE-HCM),Obstructive hypertrophic cardiomyopathy (HCM)
CYTK,2025-11-07,Aficamten (CK-274) - (MAPLE-HCM),Obstructive hypertrophic cardiomyopathy (HCM)
CLDX,2025-11-06,Barzolvolimab - (CindU),"Chronic inducible urticaria (CIndU), cold urticaria (ColdU) and symptomatic dermographism (SD), Chronic Spontaneous Urticaria (CSU)"
JNJ,2025-11-06,CAPLYTA (lumateperone) - (Study 502),Major depressive disorder (MDD)
IBRX,2025-11-05,t-haNK (N-803 ANKTIVA) in combination with rituximab - (QUILT.106),Non-Hodgkin's lymphoma (NHL)
BHVN,2025-11-04,Troriluzole (BHV4157-206-RWE),Spinocerebellar Ataxia
ESLA,2025-11-03,EB103 (CD19) - (STARLIGHT-1),"Diffuse large B cell lymphoma (DLBCL), Follicular Lymphoma (FL), and other types of B-cell Lymphoma"
AGIO,2025-11-03,Kygevvi (doxecitine and doxribtimine),Thymidine kinase 2 deficiency
ALVO,2025-11-02,AVT05 (biosimilar to golimumab),Rheumatoid Arthritis
AMRX,2025-10-29,Beclomethasone Dipropionate HFA Inhalation Aerosol,Asthma
ONCY,2025-10-28,Pelareorep and mFOLFIRINOX with and without atezolizumab - (GOBLET),Colorectal and advanced anal cancers
LLY,2025-10-27,Omvoh (Mirikizumab) - (LUCENT 1),Ulcerative Colitis
MRK,2025-10-27,WINREVAIR (sotatercept-csrk) - (ZENITH),"Pulmonary arterial hypertension (PAH, WHO* Group 1)"
BAYRY,2025-10-24,Lynkuet (elinzanetant),Moderate to severe hot flashes due to menopause
SNDX,2025-10-24,Revuforj (revumenib)  - (AUGMENT-101),Relapsed/refractory (R/R) acute leukemias
GSK,2025-10-23,Blenrep,Multiple myeloma
RHHBY,2025-10-20,Gazyva/Gazyvaro,Lupus Nephritis
GKOS,2025-10-20,Epioxa (Epi-on),Progressive keratoconus
SNSE,2025-10-17,Solnerstotug (formerly SNS-101) with Libtayo - (VISTA),One microsatellite stable (MSS) endometrial cancer
REGN,2025-10-17,Solnerstotug (formerly SNS-101) with Libtayo - (VISTA),One microsatellite stable (MSS) endometrial cancer
AMGN,2025-10-17,TEZSPIRE (tezepelumab-ekko),Chronic Rhinosinusitis with Nasal Polyps (CRwNP)
AZN,2025-10-17,TEZSPIRE (tezepelumab-ekko),Chronic Rhinosinusitis with Nasal Polyps (CRwNP)
NVO,2025-10-15,Rybelsus (oral semaglutide),Major adverse cardiovascular events in adults with type 2 diabetes and cardiovascular disease (CVD) and/or chronic kidney disease (CKD)
ABBV,2025-10-13,RINVOQ (upadacitinib),Adults with moderately to severely active ulcerative colitis (UC) and moderately to severely active Crohn's disease (CD)
CGEM,2025-10-13,Zipalertinib - (REZILIENT2),Locally advanced/metastatic NSCLC
TEVA,2025-10-10,UZEDY(R) (risperidone) Extended-Release Injectable Suspension,Bipolar I Disorder
REGN,2025-10-08,Libtayo (cemiplimab-rwlc),High-risk cutaneous squamous cell carcinoma (CSCC) after surgery
IDIO,2025-10-07,Jascayd (nerandomilast),Idiopathic pulmonary fibrosis
ARQT,2025-10-06,ZORYVE (roflumilast) Cream 0.05%,Atopic Dermatitis - ages of 2-5 years old
RHHBY,2025-10-02,Zepzelca (lurbinectedin) and Atezolizumab (Tecentriq),"First-line, Small Cell Lung Cancer (SCLC)"
JAZZ,2025-10-02,Zepzelca (lurbinectedin) and Atezolizumab (Tecentriq),"First-line, Small Cell Lung Cancer (SCLC)"
FBIO,2025-10-01,ZYCUBO (copper histidinate),Menkes disease
NVS,2025-09-30,Rhapsido (Remibrutinib )(LOU064) - (REMIX-1),Chronic spontaneous urticaria (CSU)
JNJ,2025-09-29,TREMFYA (guselkumab),Severe plaque psoriasis (PsO)
CRNX,2025-09-25,PALSONIFY (paltusotine),Acromegaly
LLY,2025-09-25,Inluriyo (imlunestrant),"ER+, HER2-, ESR1-mutated advanced or metastatic breast cancer"
IONS,2025-09-23,SPINRAZA (Nusinersen) - (DEVOTE),Spinal muscular atrophy (SMA)
SRRK,2025-09-23,Apitegromab - (SAPPHIRE),Type 2 and Type 3 Spinal Muscular Atrophy (SMA)
AMRX,2025-09-23,Bimatoprost ophthalmic solution (Lumigan generic),Open angle glaucoma or ocular hypertension
BIIB,2025-09-23,SPINRAZA (Nusinersen) - (DEVOTE),Spinal muscular atrophy (SMA)
JNJ,2025-09-19,TREMFYA (guselkumab),Ulcerative Colitis Subcutaneous Induction (ASTRO) Crohn's Disease Subcutaneous Induction
MRK,2025-09-19,KEYTRUDA QLEX (pembrolizumab and berahyaluronidase alfa-pmph),Solid tumors
STEA,2025-09-19,Forzinity (elamipretide),Barth syndrome muscle weakness
INCY,2025-09-19,Opzelura (Ruxolitinib),Atopic dermatitis (AD) in children (age ≥2 to <12 years)
KRYS,2025-09-15,VYJUVEK (beremagene geperpavec-svdt),Epidermolysis Bullosa
GMAB,2025-09-12,Epcoritamab-bysp - (EPCORE CLL-1 ),"Richter transformation (RT), chronic lymphocytic leukemia (CLL)"
AMRX,2025-09-11,Sodium oxybate oral solution 500 mg/mL,Cataplexy or excessive daytime sleepiness
JNJ,2025-09-09,INLEXZO (gemcitabine intravesical system)  (TAR-200) - (SunRISe-1),"Bacillus Calmette-Guérin (BCG)-unresponsive, high-risk non-muscle-invasive bladder cancer (HR-NMIBC)"
TAK,2025-09-05,VONVENDI [von Willebrand factor (Recombinant)],Adults with  Type 1 and 2 von Willebrand Disease (VWD)
AMRX,2025-09-04,Risperidone Extended-Release,Schizophrenia
BIIB,2025-08-29,LEQEMBI IQLIK (lecanemab-irmb) - (Maintenance Dosing),Early Alzheimer's Disease
SNY,2025-08-29,Wayrilz (rilzabrutinib),Immune thrombocytopenic purpura (ITP)
TEVA,2025-08-28,Generic Saxenda (liraglutide injection),Weight Loss
OTLK,2025-08-28,LYTENAVA (bevacizumab-vikg) / ONS-5010 - (NORSE EIGHT),Wet age-related macular degeneration (wet AMD)
PFE,2025-08-27,COMIRNATY LP.8.1,High risk for severe outcomes from COVID-19
PRTA,2025-08-27,PRX012 - (ASCENT),Alzheimer's Disease
NVAX,2025-08-27,Nuvaxovid - (2025-2026 Formula),COVID-19 Vaccine
TVTX,2025-08-27,FILSPARI (sparsentan),IgA nephropathy (IgAN)
MRNA,2025-08-27,Spikevax and mNEXSPIKE - (LP.8.1 variant),COVID-19
BNTX,2025-08-27,COMIRNATY LP.8.1,High risk for severe outcomes from COVID-19
LGND,2025-08-27,FILSPARI (sparsentan),IgA nephropathy (IgAN)
MRKR,2025-08-26,Neldaleucel (MT-601) - (APOLLO),Lymphoma who have failed or are ineligible to receive anti-CD19 CAR T cell treatment
VALN,2025-08-25,IXCHIQ,Chikungunya Vaccine
IONI,2025-08-21,Dawnzera (donidalorsen),Hereditary angioedema prophylaxis
IONS,2025-08-21,DAWNZERA  (Donidalorsen),Hereditary Angioedema (HAE)
PTCT,2025-08-19,Vatiquinone - (MOVE-FA),Friedreich ataxia
TNXP,2025-08-15,Tonmya (TNX-102 SL) - (RELIEF/RESILIENT),Fibromyalgia
NVO,2025-08-15,Wegovy (semaglutide) injection - (ESSENCE),Metabolic dysfunction-associated steatohepatitis (MASH)
PGEN,2025-08-15,PAPZIMEOS (zopapogene imadenovec-drba),Recurrent Respiratory Papillomatosis (RRP)
IBRX,2025-08-13,CD19 CAR-NK cell therapy  with rituximab - (QUILT-106),Late-stage Waldenstrom macroglobulinemia (WM)
INSM,2025-08-12,BRINSUPRI (Brensocatib) - (ASPEN),Non-Cystic Fibrosis Bronchiectasis (NCFBE)
PHRRF,2025-08-11,KETARX (ketamine),Surgical pain management
AMPH,2025-08-11,Iron Sucrose Injection,Iron deficiency anemia (IDA) in patients with chronic kidney disease (CKD)
ZAI ,2025-08-08,Hernexeos (zongertinib),Unresectable/metastatic NSCLC (HER2)
JAZZ,2025-08-06,Dordaviprone (ONC201) - (ACTION),H3 K27M-mutant diffuse midline glioma
CMRX,2025-08-06,Dordaviprone (ONC201) - (ACTION),H3 K27M-mutant diffuse midline glioma
TEVA,2025-08-06,AJOVY (fremanezumab-vfrm),Episodic migraine in children and adolescent patients aged 6-17 years who weigh 45 kilograms (99 pounds) or more
AYAL,2025-08-06,Modeyso (dordaviprone),Diffuse midline glioma (H3 K27M)
OCUP,2025-07-31,Vizz (aceclidine),Presbyopia
LENZ,2025-07-31,VIZZ (aceclidine ophthalmic solution),Presbyopia
REGN,2025-07-30,Odronextamab,Relapsed/refractory (R/R) follicular lymphoma (FL) or R/R diffuse large B-cell lymphoma (DLBCL)
ZLAB,2025-07-30,Odronextamab,Relapsed/refractory (R/R) follicular lymphoma (FL) or R/R diffuse large B-cell lymphoma (DLBCL)
ANIK,2025-07-30,HYALOFAST - (FastTRACK),Cartilage defects of the knee
PHIO,2025-07-28,PH-762,Cutaneous Squamous Cell Carcinoma
APLS,2025-07-28,EMPAVELI (pegcetacoplan) - (VALIANT),C3G and IC-MPGN
PTCT,2025-07-28,SEPHIENCE (Sepiapterin  (PTC923)) - (APHENITY),Phenylketonuria (PKU)
ASND,2025-07-28,SKYTROFA (lonapegsomatropin-tcgd (ransCon hGH)) -  (foresiGHt),Growth Hormone Deficiency - adults
ELI ,2025-07-23,Anzupgo (delgocitinib),Moderate-to-severe chronic hand eczema
REPL,2025-07-22,RP1 (vusolimogene oderparepvec) and OPDIVO (nivolumab) - (IGNYTE-3),Non-melanoma (NMSC) / Non-small cell lung cancer (NSCLC)
RHHBY,2025-07-18,Columvi + GemOx - (STARGLO),2L+ Diffuse Large B-Cell Lymphoma (DLBCL)
GSK,2025-07-17,Shingrix (prefilled syringe),Shingles (herpes zoster)
CUE,2025-07-16,CUE-101,HPV+ head and neck squamous cell carcinoma (HNSCC)
RARE,2025-07-11,UX111 - (ABO-102),Sanfilippo syndrome type A (MPS IIIA)
ABEO,2025-07-11,UX111 - (ABO-102),Sanfilippo syndrome type A (MPS IIIA)
CAPR,2025-07-11,Deramiocel (CAP-1002) - (HOPE-2),Duchenne Muscular Dystrophy (DMD)
KALV,2025-07-07,EKTERLY (sebetralstat),Hereditary Angioedema (HAE)
JSPR,2025-07-07,Subcutaneous briquilimab - (BEACON),Chronic Spontaneous Urticaria (CSU)
TAKE,2025-07-03,Ekterly (sebetralstat),Hereditary angioedema acute attacks
CMND,2025-07-03,CMND-100,Alcohol use disorder (AUD)
EXEL,2025-07-02,Zegfrovy (sunvozertinib),NSCLC (EGFR exon 20 insertions)
REGN,2025-07-02,Lynozyfic (linvoseltamab-gcpt),Multiple myeloma
INTS,2025-06-30,INT230-6,Malignant Peripheral Nerve Sheath Tumor (MPNST)
TAK,2025-06-30,GAMMAGARD LIQUID ERC [Immune Globulin Infusion (Human) with less than or equal to 2 µg/mL 10% solution],Low immunoglobulin A (IgA)
ABBV,2025-06-30,JUVÉDERM - (SKINVIVE) (injectable HA),facial skin smoothness of the cheeks in adults over the age of 21.
UNCY,2025-06-30,Oxylanthanum Carbonate (OLC),Kidney disease
BMY,2025-06-27,Breyanzi® (lisocabtagene maraleucel; liso-cel) (CAR Tcell therapy),Large B-cell lymphoma (LBCL)
GSK,2025-06-24,Benlysta (belimumab) Autoinjector,Active lupus nephritis in children
DSNKY,2025-06-23,Datopotamab deruxtecan - (TROPION-Lung05),EGFR non-small cell lung cancer (NSCLC)
AZN,2025-06-23,Datopotamab deruxtecan - (TROPION-Lung05),EGFR non-small cell lung cancer (NSCLC)
AZN,2025-06-23,DATROWAY (datopotamab deruxtecan-dlnk)- (TROPION-Lung01),Non-small cell lung cancer (NSCLC)
AVBP,2025-06-23,Firmonertinib monotherapy - (FURTHER),Non-small cell lung cancer (NSCLC) harboring EGFR PACC mutations
GHRS,2025-06-20,GH001-TRD-201,Treatment-Resistant Depression (TRD)
GLPG,2025-06-19,GLPG5101 - (ATALANTA-1),Relapsed/refractory Non-Hodgkin Lymphoma (rrNHL)
GILD,2025-06-18,Yeztugo (Lenacapavir),HIV PrEP – Pre-exposure prophylaxis
NVS,2025-06-18,MONJUVI (tafasitamab) with REVLIMID (lenalidomide) and RITUXAN (rituximab),Follicular lymphoma (FL) / marginal zone lymphoma (MZL)
XNCR,2025-06-18,MONJUVI (tafasitamab) with REVLIMID (lenalidomide) and RITUXAN (rituximab),Follicular lymphoma (FL) / marginal zone lymphoma (MZL)
INCY,2025-06-18,MONJUVI (tafasitamab) with REVLIMID (lenalidomide) and RITUXAN (rituximab),Follicular lymphoma (FL) / marginal zone lymphoma (MZL)
LYEL,2025-06-17,LYL314 (IMPT-314),Large B-cell lymphoma
CSLLY,2025-06-17,Garadacimab (CSL312),Hereditary angioedema (HAE)
JSPR,2025-06-16,Subcutaneous briquilimab - (SPOTLIGHT),Chronic inducible urticaria (CIndU)
LTRN,2025-06-16,LP-300 - (Harmonic),Non-small cell lung cancer (NSCLC)
HOTH,2025-06-16,Andembry (garadacimab-gxii),Hereditary angioedema prophylaxis
GMAB,2025-06-15,EPCORE (Epcoritamab) - (EPCORE  NHL-2),Non-Hodgkin lymphoma (NHL)
INCY,2025-06-15,INCA033989,Myelofibrosis (MF)
MRK,2025-06-13,KEYTRUDA (pembrolizumab) - (KEYNOTE-689),Head and Neck Squamous Cell Carcinoma
JNJ,2025-06-13,JNJ-4496,R/R diffuse large B-cell lymphoma (DLBCL)
ADCT,2025-06-12,ZYNLONTA (Loncastuximab Tesirine-Ipyl) - (LOTIS-7),B-cell non-Hodgkin lymphoma
NRIX,2025-06-12,Bexobrutideg (NX-5948),Relapsed/Refractory Waldenstrom's Macroglobulinemia
BMY,2025-06-12,Iberdomide in Combination with Dexamethasone - (CC-220-MM-001),Relapsed/Refractory Multiple Myeloma (RRMM)
URGN,2025-06-12,ZUSDURI (VesiGel UGN-102 (mitomycin)) - (ENVISION),Low grade non-muscle invasive bladder cancer (LG-NMIBC)
MRNA,2025-06-12,mRESVIA (mRNA-1345),Respiratory Syncytial Virus (RSV)
AMRX,2025-06-12,Prednisolone Acetate Ophthalmic Suspension,Steroid-responsive ocular inflammation
NUVB,2025-06-11,IBTROZI (taletrectinib),ROS1+ Non–Small Cell Lung Cancer
ABBV,2025-06-11,MAVYRET (glecaprevir/pibrentasvir),Adults and pediatric patients 3 years and older with acute or chronic hepatitis C virus (HCV)
ENTA,2025-06-11,MAVYRET (glecaprevir/pibrentasvir),Adults and pediatric patients 3 years and older with acute or chronic hepatitis C virus (HCV)
AXSM,2025-06-09,Esreboxetine (AXS-14) - (FORWARD),Fibromyalgia
MRK,2025-06-09,ENFLONSIA (Clesrovimab) (MK-1654-004) - (CLEVER),Respiratory syncytial virus (RSV) infants
IMMX,2025-06-03,NXC-201 (HBI10101) - (NEXICART-2),Relapsed/refractory AL Amyloidosis
TRAW,2025-06-03,Rigosertib,Recessive Dystrophic Epidermolysis Bullosa-Associated Squamous Cell Carcinoma
ONTX,2025-06-03,Rigosertib,Recessive Dystrophic Epidermolysis Bullosa-Associated Squamous Cell Carcinoma
GMAB,2025-06-02,Rinatabart sesutecan (Rina-S) - (RAINFOL),"Ovarian cancer, Endometrial Cancers, Solid tumors"
SNY,2025-06-02,DUPIXENT (dupilumab),Bullous pemphigoid (BP)
REGN,2025-06-02,DUPIXENT (dupilumab),Bullous pemphigoid (BP)
MRNA,2025-05-31,mRNA-1283 - (NEXTCove),COVID-19
ETON,2025-05-29,KHINDIVI  (ET-400 ( hydrocortisone bioequivalence)),Oral hydrocortisone
ALDE,2025-05-28,Tryptyr (acoltremon),Dry eye disease signs and symptoms
ALC,2025-05-28,TRYPTYR (acoltremon ophthalmic solution) 0.003%,Dry eye disease (DED)
SVRA,2025-05-27,MOLBREEVI (Molgradex) - (IMPALA-2),Autoimmune pulmonary alveolar proteinosis (aPAP)
BMY,2025-05-23,Iberdomide in Combination with Dexamethasone - (CC-220-MM-001),Relapsed/Refractory Multiple Myeloma (RRMM)
REGN,2025-05-23,Linvoseltamab +  carfilzomib - (LINKER-MM2),Relapsed/refractory multiple myeloma (RRMM)
LQDA,2025-05-23,YUTREPIA (treprostinil),Pulmonary arterial hypertension (PAH)
BCTX,2025-05-23,Bria-IMT - (BRIA-ABC),Advanced breast cancer
GSK,2025-05-22,Nucala (mepolizumab),Chronic obstructive pulmonary disease (COPD)
ARQT,2025-05-22,ZORYVE (roflumilast),Scalp psoriasis
RHHBY,2025-05-22,Susvimo,Diabetic Retinopathy
NVAX,2025-05-19,NUVAXOVID,Covid-19
INCY,2025-05-15,Zynyz (retifanlimab-dlwr),Advanced Anal Cancer Patients
AMRX,2025-05-15,Brekiya (dihydroergotamine mesylate) injection,Migraine with or without aura and cluster headache in adults
CING,2025-05-14,"CTx-1301 (fixed dose, pediatric study)",ADHD
ABBV,2025-05-14,EMRELIS (Telisotuzumab vedotin (Teliso-V)) - (LUMINOSITY),Nonsquamous non-small cell lung cancer (NSCLC)
MRK,2025-05-14,WELIREG (belzutifan),Advanced Pheochromocytoma and Paraganglioma (PPGL)
OGEN,2025-05-13,ONP-002,Moderate-to-severe concussion in the acute through subacute phases
VSTM,2025-05-08,AVMAPKI FAKZYNJA CO-PACK,Recurrent low-grade serous ovarian cancer (LGSOC)
PHIO,2025-05-07,PH-762,Cutaneous Squamous Cell Carcinoma
ALVO,2025-05-05,SELARSDI (ustekinumab-aekn) injection - (STELARA biosimilar),Adults and pediatric psoriatic arthritis and plaque psoriasis
TEVA,2025-05-05,SELARSDI (ustekinumab-aekn) injection - (STELARA biosimilar),Adults and pediatric psoriatic arthritis and plaque psoriasis
JNJ,2025-04-30,IMAAVY (Nipocalimab) - (Vivacity-MG3),Generalized myasthenia gravis (gMG)
XRTX,2025-04-30,XRx-026,Gout
ABBV,2025-04-29,Upadacitinib (RINVOQ)  - (SELECT-GCA),Giant cell arteritis (GCA)
MOME,2025-04-29,Imaavy (nipocalimab-aahu),Generalized myasthenia gravis
ABEO,2025-04-29,ZEVASKYN (prademagene zamikeracel),Recessive dystrophic epidermolysis bullosa (RDEB)
CLDI,2025-04-28,CLD-400 - (RTNova),Metastatic Solid Tumors & Lung cancer
TLX,2025-04-28,TLX101-CDx,Progressive or recurrent glioma
URGN,2025-04-27,UGN-102 - (OPTIMA II),Non-Muscle-Invasive Bladder Cancer
TARA,2025-04-26,TARA-002 - (ADVANCED-2),High-grade non-muscle invasive bladder cancer (NMIBC) patients with Bacillus Calmette-Guérin (BCG)-naïve and BCG-unresponsive carcinoma in situ (CIS)
ALXO,2025-04-25,ALX148 (evorpacept) + rituximab and lenalidomide,Non-Hodgkin lymphoma (NHL)
EQ,2025-04-24,Itolizumab - (EQUATOR),1st line Acute graft-versus-host disease (aGVHD)
JNJ,2025-04-24,INLEXZO (gemcitabine intravesical system)  (TAR-200) - (SunRISe-1),"Bacillus Calmette-Guérin (BCG)-unresponsive, high-risk non-muscle-invasive bladder cancer (HR-NMIBC)"
ANTE,2025-04-23,penpulimab-kcqx (penpulimab-kcqx),Nasopharyngeal carcinoma (recurrent/metastatic)
REGN,2025-04-20,EYLEA HD (24-week dosing),Wet age-related macular degeneration (wAMD)
SNY,2025-04-18,Dupixent (dupilumab),Chronic spontaneous urticaria (CSU)
REGN,2025-04-18,Dupixent (dupilumab),Chronic spontaneous urticaria (CSU)
MIRM,2025-04-14,LIVMARLI (maralixibat) (tablet formulation),Alagille syndrome (ALGS) and Progressive Familial Intrahepatic Cholestasis (PFIC)
IRWD,2025-04-14,Apraglutide - (STARS),Short Bowel Syndrome with Intestinal Failure (SBS-IF)
BMY,2025-04-11,Opdivo (nivolumab) plus Yervoy (ipilimumab) - (CheckMate -9DW),Hepatocellular carcinoma (HCC)
HALO,2025-04-10,VYVGART Hytrulo (efgartigimod),"Generalized myasthenia gravis (gMG), chronic inflammatory demyelinating polyneuropathy (CIDP)"
ARGX,2025-04-10,VYVGART Hytrulo (efgartigimod),"Generalized myasthenia gravis (gMG), chronic inflammatory demyelinating polyneuropathy (CIDP)"
BMY,2025-04-08,Opdivo (nivolumab) plus Yervoy - (CheckMate -8HW),Microsatellite Instability–High or Mismatch Repair Deficient Metastatic Colorectal Cancer
NVS,2025-04-03,Vanrafia (atrasentan),Proteinuria reduction in primary IgA nephropathy (IgAN)
AMGN,2025-04-03,UPLIZNA (INEBILIZUMAB-CDON),Immunoglobulin G4-related disease (IgG4-RD)
ALDX,2025-04-03,Reproxalap (ADX-102) - (TRANQUILITY),Dry eye disease
ABBV,2025-04-02,Vanrafia (atrasentan),Primary IgA nephropathy
CMPX,2025-04-01,CTX-009 (DLL4 X VEGF-A bispecific) - (COMPANION-002),Biliary tract cancer (BTC)
AZN,2025-03-31,IMFINZI (durvalumab),Muscle-invasive bladder cancer (MIBC)
NVS,2025-03-28,Pluvicto (lutetium (177Lu) vipivotide tetraxetan),Metastatic castration-resistant prostate cancer (mCRPC)
MIST,2025-03-28,CARDAMYST (etripamil),Paroxysmal supraventricular tachycardia (PSVT)
SNY,2025-03-28,Qfitlia (fitusiran) - (ATLAS),Hemophilia A/B
