loe,brand,ingredient,company,appl_no,n_patents,substance_patent,approval_date,therapeutic_family,atc_code
2029-04-28,ATRIPLA,EFAVIRENZ; EMTRICITABINE; TENOFOVIR DISOPROXIL FUMARATE,GILEAD SCIENCES LLC,021937,5,False,"Jul 12, 2006",Infectious disease,J05AF
2029-05-21,MITOSOL,MITOMYCIN,GLAUKOS CORP,022572,5,True,"Feb 7, 2012",Cancer,L01DC
2029-05-24,KAZANO,ALOGLIPTIN BENZOATE; METFORMIN HYDROCHLORIDE,TAKEDA PHARMACEUTICALS USA INC,203414,4,True,"Jan 25, 2013",Diabetes,A10BA
2029-05-28,ZIOPTAN,TAFLUPROST,THEA PHARMA INC,202514,2,False,"Feb 10, 2012",Eye & ear,S01EE
2029-05-29,MOXEZA,MOXIFLOXACIN HYDROCHLORIDE,HARROW EYE LLC,022428,2,False,"Nov 19, 2010",Infectious disease,J01MA
2029-06-01,RASUVO,METHOTREXATE,MEDEXUS PHARMA INC,205776,10,False,"Jul 10, 2014",Cancer,L01BA
2029-06-02,VERKAZIA,CYCLOSPORINE,HARROW EYE LLC,214965,7,False,"Jun 23, 2021",Immunology,L04AD
2029-06-04,OSENI,ALOGLIPTIN BENZOATE; PIOGLITAZONE HYDROCHLORIDE,TAKEDA PHARMACEUTICALS USA INC,022426,12,True,"Jan 25, 2013",Diabetes,A10BD
2029-06-10,HORIZANT,GABAPENTIN ENACARBIL,AZURITY PHARMACEUTICALS INC,022399,8,True,"Apr 6, 2011",Pain,N02BF
2029-06-14,QSYMIA,PHENTERMINE HYDROCHLORIDE; TOPIRAMATE,VIVUS LLC,022580,24,False,"Jul 17, 2012",Metabolism & digestive,A08AA
2029-06-14,NICORETTE,NICOTINE POLACRILEX,HALEON US HOLDINGS LLC,022360,4,False,"May 18, 2009",Neurology & psychiatry,N07BA
2029-06-16,NESINA,ALOGLIPTIN BENZOATE,TAKEDA PHARMACEUTICALS USA INC,022271,6,True,"Jan 25, 2013",Diabetes,A10BH
2029-06-30,TRIPTODUR KIT,TRIPTORELIN PAMOATE,AZURITY PHARMACEUTICALS INC,208956,1,False,"Jun 29, 2017",Cancer,L02AE
2029-06-30,TRELSTAR,TRIPTORELIN PAMOATE,VERITY PHARMACEUTICALS INC,022437,1,False,"Mar 10, 2010",Cancer,L02AE
2029-07-08,VALCHLOR,MECHLORETHAMINE HYDROCHLORIDE,HELSINN BIREX PHARMACEUTICALS LTD,202317,6,False,"Aug 23, 2013",Cancer,L01AA
2029-07-13,RUKOBIA,FOSTEMSAVIR TROMETHAMINE,VIIV HEALTHCARE CO,212950,2,True,"Jul 2, 2020",Infectious disease,J05AX
2029-07-26,ZOKINVY,LONAFARNIB,SENTYNL THERAPEUTICS INC,213969,2,False,"Nov 20, 2020",Metabolism & digestive,A16AX
2029-07-31,VANTRELA ER,HYDROCODONE BITARTRATE,TEVA BRANDED PHARMACEUTICAL PRODUCTS R AND D INC,207975,15,False,"Jan 17, 2017",Pain,N02AJ
2029-08-05,ACANYA,BENZOYL PEROXIDE; CLINDAMYCIN PHOSPHATE,BAUSCH HEALTH AMERICAS INC,050819,19,False,"Oct 23, 2008",Dermatology,D10AE
2029-08-15,ACUVAIL,KETOROLAC TROMETHAMINE,ABBVIE INC,022427,3,True,"Jul 22, 2009",Musculoskeletal,M01AB
2029-08-20,INTERMEZZO,ZOLPIDEM TARTRATE,PURDUE PHARMA PRODUCTS LP,022328,4,False,"Nov 23, 2011",Psychiatry,N05CF
2029-08-24,MYDAYIS,AMPHETAMINE ASPARTATE; AMPHETAMINE SULFATE; DEXTROAMPHETAMINE SACCHARATE; DEXTROAMPHETAMINE SULFATE,TAKEDA PHARMACEUTICALS USA INC,022063,8,False,"Jun 20, 2017",Neurology & psychiatry,N06BA
2029-08-26,INVOKAMET XR,CANAGLIFLOZIN; METFORMIN HYDROCHLORIDE,JANSSEN PHARMACEUTICALS INC,205879,40,True,"Sep 20, 2016",Diabetes,A10BA
2029-08-26,INVOKANA,CANAGLIFLOZIN,JANSSEN PHARMACEUTICALS INC,204042,20,True,"Mar 29, 2013",Diabetes,A10BD
2029-09-05,OLYSIO,SIMEPREVIR SODIUM,JANSSEN PRODUCTS LP,205123,8,True,"Nov 22, 2013",Infectious disease,J05AP
2029-09-08,MIRAPEX ER,PRAMIPEXOLE DIHYDROCHLORIDE,BOEHRINGER INGELHEIM PHARMACEUTICALS INC,022421,14,False,"Feb 19, 2010",Parkinson's,N04BC
2029-09-11,ISENTRESS,RALTEGRAVIR POTASSIUM,MERCK SHARP AND DOHME LLC A SUB OF MERCK AND CO INC,205786,2,True,"Dec 20, 2013",Infectious disease,J05AJ
2029-09-11,DUTREBIS,LAMIVUDINE; RALTEGRAVIR POTASSIUM,MERCK SHARP AND DOHME CORP,206510,2,True,"Feb 6, 2015",Infectious disease,J05AF
2029-09-12,XELPROS,LATANOPROST,SUN PHARMACEUTICAL INDUSTRIES LTD,206185,2,False,"Sep 12, 2018",Eye & ear,S01EE
2029-09-16,KYLEENA,LEVONORGESTREL,BAYER HEALTHCARE PHARMACEUTICALS INC,208224,3,False,"Sep 16, 2016",Genitourinary & hormones,G03AA
2029-09-16,SKYLA,LEVONORGESTREL,BAYER HEALTHCARE PHARMACEUTICALS INC,203159,3,False,"Jan 9, 2013",Genitourinary & hormones,G03AA
2029-09-16,MIRENA,LEVONORGESTREL,BAYER HEALTHCARE PHARMACEUTICALS INC,021225,2,False,"Dec 6, 2000",Genitourinary & hormones,G03AA
2029-09-18,TYKERB,LAPATINIB DITOSYLATE,NOVARTIS PHARMACEUTICALS CORP,022059,1,True,"Mar 13, 2007",Cancer,L01EH
2029-09-19,SAVELLA,MILNACIPRAN HYDROCHLORIDE,ABBVIE INC,022256,4,False,"Jan 14, 2009",Neurology & psychiatry,N06AX
2029-09-24,NAMENDA XR,MEMANTINE HYDROCHLORIDE,ABBVIE INC,022525,8,False,"Jun 21, 2010",Neurology & psychiatry,N06DA
2029-10-02,XIFAXAN,RIFAXIMIN,SALIX PHARMACEUTICALS INC,021361,31,True,"May 25, 2004",Metabolism & digestive,A07AA
2029-10-05,PRESTALIA,AMLODIPINE BESYLATE; PERINDOPRIL ARGININE,ADHERA THERAPEUTICS INC,205003,3,True,"Jan 21, 2015",Cardiovascular,C08CA
2029-10-09,VARUBI,ROLAPITANT HYDROCHLORIDE,TERSERA THERAPEUTICS LLC,206500,7,True,"Sep 1, 2015",Metabolism & digestive,A04AD
2029-10-10,IZBA,TRAVOPROST,NOVARTIS PHARMACEUTICALS CORP,204822,4,False,"May 15, 2014",Eye & ear,S01EE
2029-10-13,TRAVATAN Z,TRAVOPROST,SANDOZ INC,021994,3,False,"Sep 21, 2006",Eye & ear,S01EE
2029-10-15,VIVITROL,NALTREXONE,ALKERMES INC,021897,2,False,"Apr 13, 2006",Pain,N02AA
2029-10-18,OPSUMIT,MACITENTAN,ACTELION PHARMACEUTICALS US INC,204410,10,True,"Oct 18, 2013",Cardiovascular,C02KX
2029-10-26,FERRIPROX,DEFERIPRONE,CHIESI USA INC,208030,2,False,"Sep 9, 2015",Various,V03AC
2029-11-06,XALKORI,CRIZOTINIB,PF PRISM CV,202570,10,True,"Aug 26, 2011",Cancer,L01ED
2029-11-06,XALKORI,CRIZOTINIB,PF PRISM CV,217581,15,True,"Sep 7, 2023",Cancer,L01ED
2029-11-07,EMBEDA,MORPHINE SULFATE; NALTREXONE HYDROCHLORIDE,ALPHARMA PHARMACEUTICALS LLC,022321,42,False,"Aug 13, 2009",Pain,N02AA
2029-11-20,NINLARO,IXAZOMIB CITRATE,TAKEDA PHARMACEUTICALS USA INC,208462,21,True,"Nov 20, 2015",Cancer,L01XG
2029-11-22,OPANA ER,OXYMORPHONE HYDROCHLORIDE,ENDO PHARMACEUTICALS INC,201655,21,True,"Dec 9, 2011",Pain,N02AA
2029-11-22,OPANA ER,OXYMORPHONE HYDROCHLORIDE,ENDO OPERATIONS LTD,021610,14,True,"Jun 22, 2006",Pain,N02AA
2029-12-05,NAMZARIC,DONEPEZIL HYDROCHLORIDE; MEMANTINE HYDROCHLORIDE,ABBVIE INC,206439,12,False,"Dec 23, 2014",Neurology & psychiatry,N06DA
2029-12-07,OFEV,NINTEDANIB ESYLATE,BOEHRINGER INGELHEIM PHARMACEUTICALS INC,205832,16,True,"Oct 15, 2014",Cancer,L01EX
2029-12-17,TRIESENCE,TRIAMCINOLONE ACETONIDE,HARROW EYE LLC,022048,3,False,"Nov 29, 2007",Dermatology,D07AB
2029-12-21,TEKAMLO,ALISKIREN HEMIFUMARATE; AMLODIPINE BESYLATE,NOVARTIS PHARMACEUTICALS CORP,022545,4,False,"Aug 26, 2010",Cardiovascular,C08CA
2030-01-03,SALONPAS,MENTHOL; METHYL SALICYLATE,HISAMITSU PHARMACEUTICAL CO INC,022029,4,False,"Feb 20, 2008",Unclassified,
2030-01-21,MILPROSA,PROGESTERONE,FERRING PHARMACEUTICALS INC,201110,3,False,"Apr 29, 2020",Genitourinary & hormones,G03DA
2030-01-31,OMEPRAZOLE,OMEPRAZOLE,DEXCEL PHARMA TECHNOLOGIES LTD,022032,1,False,"Dec 4, 2007",Metabolism & digestive,A02BC
2030-02-12,ENTEREG,ALVIMOPAN,CUBIST PHARMACEUTICALS INC,021775,1,False,"May 20, 2008",Metabolism & digestive,A06AH
2030-02-13,KALYDECO,IVACAFTOR,VERTEX PHARMACEUTICALS INC,203188,20,True,"Jan 31, 2012",Respiratory,R07AX
2030-02-23,PHOSLYRA,CALCIUM ACETATE,FRESENIUS MEDICAL CARE RENAL THERAPIES GROUP LLC,022581,3,False,"Apr 18, 2011",Various,V03AE
2030-02-23,FLOLIPID,SIMVASTATIN,SALERNO PHARMACEUTICALS,206679,4,False,"Apr 21, 2016",Cardiovascular,C10AA
2030-02-24,FABIOR,TAZAROTENE,MAYNE PHARMA LLC,202428,3,False,"May 11, 2012",Dermatology,D05AX
2030-02-28,QUZYTTIR,CETIRIZINE HYDROCHLORIDE,ESTEVE PHARMACEUTICALS SA,211415,5,False,"Oct 4, 2019",Respiratory,R06AE
2030-03-10,MYOVIEW,TECHNETIUM TC-99M TETROFOSMIN KIT,MEDI-PHYSICS INC DBA GE HEALTHCARE,020372,1,False,"Feb 9, 1996",Unclassified,
2030-03-17,VRAYLAR,CARIPRAZINE HYDROCHLORIDE,ABBVIE INC,204370,106,True,"Sep 17, 2015",Psychiatry,N05AX
2030-03-19,TEPMETKO,TEPOTINIB HYDROCHLORIDE,EMD SERONO INC,214096,8,True,"Feb 3, 2021",Cancer,L01EP
2030-03-24,OTOVEL,CIPROFLOXACIN HYDROCHLORIDE; FLUOCINOLONE ACETONIDE,LABORATORIOS SALVAT SA,208251,1,False,"Apr 29, 2016",Eye & ear,S01AE
2030-03-25,VONJO,PACRITINIB CITRATE,SOBI INC,208712,6,True,"Feb 28, 2022",Cancer,L01EJ
2030-03-26,SUBOXONE,BUPRENORPHINE HYDROCHLORIDE; NALOXONE HYDROCHLORIDE,INDIVIOR INC,022410,12,False,"Aug 30, 2010",Pain,N02AA
2030-03-26,QUTENZA,CAPSAICIN,AVERITAS PHARMA INC,022395,2,False,"Nov 16, 2009",Musculoskeletal,M02AB
2030-03-28,MYRBETRIQ,MIRABEGRON,ASTELLAS PHARMA GLOBAL DEVELOPMENT INC,202611,26,False,"Jun 28, 2012",Genitourinary & hormones,G04BD
2030-03-29,OXYCONTIN,OXYCODONE HYDROCHLORIDE,KNOA PHARMA LLC,022272,102,False,"Apr 5, 2010",Pain,N02AA
2030-04-02,KOVANAZE,OXYMETAZOLINE HYDROCHLORIDE; TETRACAINE HYDROCHLORIDE,ST RENATUS LLC,208032,2,False,"Jun 29, 2016",Dermatology,D04AB
2030-04-07,JYNARQUE,TOLVAPTAN,OTSUKA PHARMACEUTICAL CO LTD,204441,10,True,"Apr 23, 2018",Cardiovascular,C03XA
2030-04-07,SAMSCA,TOLVAPTAN,OTSUKA PHARMACEUTICAL CO LTD,022275,6,True,"May 19, 2009",Cardiovascular,C03XA
2030-04-09,BRIVIACT,BRIVARACETAM,UCB INC,205836,10,True,"May 12, 2016",Epilepsy,N03AX
2030-04-13,NOCDURNA,DESMOPRESSIN ACETATE,FERRING PHARMACEUTICALS INC,022517,6,False,"Jun 21, 2018",Hormonal,H01BA
2030-04-19,ACETAMINOPHEN,ACETAMINOPHEN,FRESENIUS KABI USA LLC,204767,1,False,"Oct 28, 2015",Pain,N02AJ
2030-04-23,ZORVOLEX,DICLOFENAC,ZYLA LIFE SCIENCES US INC,204592,14,False,"Oct 18, 2013",Musculoskeletal,M01AB
2030-04-23,TIVORBEX,INDOMETHACIN,GENUS LIFESCIENCES INC,204768,6,False,"Feb 24, 2014",Musculoskeletal,M01AB
2030-04-27,SUBSYS,FENTANYL,BTCP PHARMA LLC,202788,68,False,"Jan 4, 2012",Pain,N02AB
2030-04-30,ZYCLARA,IMIQUIMOD,BAUSCH HEALTH US LLC,022483,15,False,"Mar 25, 2010",Dermatology,D06BB
2030-05-01,APRISO,MESALAMINE,SALIX PHARMACEUTICALS INC,022301,1,False,"Oct 31, 2008",Metabolism & digestive,A07EC
2030-05-28,SYMBICORT AEROSPHERE,BUDESONIDE; FORMOTEROL FUMARATE,ASTRAZENECA PHARMACEUTICALS LP,216579,6,False,"Apr 28, 2023",Respiratory,R01AD
2030-05-28,AIRSUPRA,ALBUTEROL SULFATE; BUDESONIDE,ASTRAZENECA PHARMACEUTICALS LP,214070,1,False,"Jan 10, 2023",Respiratory,R01AD
2030-06-02,ISENTRESS,RALTEGRAVIR POTASSIUM,MERCK SHARP AND DOHME LLC A SUB OF MERCK AND CO INC,203045,5,True,"Dec 21, 2011",Infectious disease,J05AJ
2030-06-03,ONUREG,AZACITIDINE,BRISTOL MYERS SQUIBB CO,214120,6,False,"Sep 1, 2020",Cancer,L01BC
2030-06-08,TIVICAY,DOLUTEGRAVIR SODIUM,VIIV HEALTHCARE CO,204790,12,True,"Aug 12, 2013",Infectious disease,J05AJ
2030-06-08,TRIUMEQ,ABACAVIR SULFATE; DOLUTEGRAVIR SODIUM; LAMIVUDINE,VIIV HEALTHCARE CO,205551,4,True,"Aug 22, 2014",Infectious disease,J05AF
2030-06-08,TIVICAY PD,DOLUTEGRAVIR SODIUM,VIIV HEALTHCARE CO,213983,4,True,"Jun 12, 2020",Infectious disease,J05AJ
2030-06-08,TRIUMEQ PD,ABACAVIR SULFATE; DOLUTEGRAVIR SODIUM; LAMIVUDINE,VIIV HEALTHCARE CO,215413,4,True,"Mar 30, 2022",Infectious disease,J05AF
2030-06-12,ELLA,ULIPRISTAL ACETATE,LABORATOIRE HRA PHARMA,022474,8,False,"Aug 13, 2010",Genitourinary & hormones,G03AD
2030-06-15,NOCTIVA,DESMOPRESSIN ACETATE,ACERUS PHARMACEUTICALS USA LLC,201656,6,False,"Mar 3, 2017",Hormonal,H01BA
2030-06-16,QTERN,DAPAGLIFLOZIN; SAXAGLIPTIN HYDROCHLORIDE,ASTRAZENECA AB,209091,28,True,"Feb 27, 2017",Diabetes,A10BD
2030-06-16,SITAVIG,ACYCLOVIR,LIGAND PHARMACEUTICALS INC,203791,3,False,"Apr 12, 2013",Dermatology,D06BB
2030-06-27,ACUVUE THERAVISION WITH KETOTIFEN,KETOTIFEN FUMARATE,JOHNSON AND JOHNSON VISION CARE INC,022388,2,False,"Feb 25, 2022",Respiratory,R06AX
2030-07-04,MINIVELLE,ESTRADIOL,NOVEN PHARMACEUTICALS INC,203752,16,True,"Oct 29, 2012",Genitourinary & hormones,G03AA
2030-07-06,INVOKAMET,CANAGLIFLOZIN; METFORMIN HYDROCHLORIDE,JANSSEN PHARMACEUTICALS INC,204353,44,True,"Aug 8, 2014",Diabetes,A10BA
2030-07-13,ZUPLENZ,ONDANSETRON,AQUESTIVE THERAPEUTICS INC,022524,4,False,"Jul 2, 2010",Metabolism & digestive,A04AA
2030-07-14,LUMIFY,BRIMONIDINE TARTRATE,BAUSCH AND LOMB INC,208144,4,False,"Dec 22, 2017",Eye & ear,S01EA
2030-07-14,LUMIFY PRESERVATIVE FREE,BRIMONIDINE TARTRATE,BAUSCH AND LOMB INC,218424,3,False,"Apr 19, 2024",Eye & ear,S01EA
2030-07-17,SAFYRAL,DROSPIRENONE; ETHINYL ESTRADIOL; LEVOMEFOLATE CALCIUM,BAYER HEALTHCARE PHARMACEUTICALS INC,022574,3,False,"Dec 16, 2010",Genitourinary & hormones,G03AA
2030-07-17,BEYAZ,DROSPIRENONE; ETHINYL ESTRADIOL; LEVOMEFOLATE CALCIUM,BAYER HEALTHCARE PHARMACEUTICALS INC,022532,5,False,"Sep 24, 2010",Genitourinary & hormones,G03AA
2030-07-20,EUCRISA,CRISABOROLE,ANACOR PHARMACEUTICALS INC,207695,8,True,"Dec 14, 2016",Dermatology,D11AH
2030-07-21,AURYXIA,FERRIC CITRATE,KERYX BIOPHARMACEUTICALS INC,205874,3,False,"Sep 5, 2014",Various,V03AE
2030-07-25,WINLEVI,CLASCOTERONE,SUN PHARMACEUTICAL INDUSTRIES LTD,213433,8,False,"Aug 26, 2020",Dermatology,D10AX
2030-07-28,IMPLANON,ETONOGESTREL,ORGANON USA LLC,021529,5,False,"Jul 17, 2006",Genitourinary & hormones,G03AC
2030-08-02,CHILDREN'S ALLEGRA ALLERGY,FEXOFENADINE HYDROCHLORIDE,CHATTEM INC DBA SANOFI CONSUMER HEALTHCARE,201373,2,False,"Jan 24, 2011",Respiratory,R06AX
2030-08-09,PENNSAID,DICLOFENAC SODIUM,HORIZON THERAPEUTICS IRELAND DAC,204623,20,False,"Jan 16, 2014",Musculoskeletal,M01AB
2030-08-09,PENNSAID,DICLOFENAC SODIUM,NUVO PHARMACEUTICALS INC,020947,5,False,"Nov 4, 2009",Musculoskeletal,M01AB
2030-08-31,SERNIVO,BETAMETHASONE DIPROPIONATE,PRIMUS PHARMACEUTICALS INC,208079,7,False,"Feb 5, 2016",Eye & ear,S01BA
2030-08-31,QMIIZ ODT,MELOXICAM,TERSERA THERAPEUTICS LLC,211210,2,False,"Oct 19, 2018",Neurology & psychiatry,N01BB
2030-09-02,EXXUA,GEPIRONE HYDROCHLORIDE,FABRE KRAMER PHARMACEUTICALS INC,021164,4,False,"Sep 22, 2023",Neurology & psychiatry,N06AX
2030-09-07,SILENOR,DOXEPIN HYDROCHLORIDE,CURRAX PHARMACEUTICALS LLC,022036,32,False,"Mar 17, 2010",Dermatology,D04AX
2030-09-22,RAVICTI,GLYCEROL PHENYLBUTYRATE,HORIZON THERAPEUTICS US HOLDING LLC,203284,14,False,"Feb 1, 2013",Metabolism & digestive,A16AX
2030-10-01,ZILXI,MINOCYCLINE HYDROCHLORIDE,JOURNEY MEDICAL CORP,213690,9,False,"May 28, 2020",Metabolism & digestive,A01AB
2030-10-07,INPEFA,SOTAGLIFLOZIN,LEXICON PHARMACEUTICALS INC,216203,6,True,"May 26, 2023",Diabetes,A10BK
2030-10-08,TYGACIL,TIGECYCLINE,PF PRISM CV,021821,6,False,"Jun 15, 2005",Infectious disease,J01AA
2030-10-30,SIMBRINZA,BRIMONIDINE TARTRATE; BRINZOLAMIDE,ALCON LABORATORIES INC,204251,2,False,"Apr 19, 2013",Eye & ear,S01EA
2030-11-04,TOBI PODHALER,TOBRAMYCIN,VIATRIS SPECIALTY LLC,201688,2,False,"Mar 22, 2013",Infectious disease,J01GB
2030-11-12,AMONDYS 45,CASIMERSEN,SAREPTA THERAPEUTICS INC,213026,7,True,"Feb 25, 2021",Musculoskeletal,M09AX
2030-11-23,CUBICIN,DAPTOMYCIN,CUBIST PHARMACEUTICALS LLC,021572,2,False,"Sep 12, 2003",Infectious disease,J01XX
2030-11-29,ANORO ELLIPTA,UMECLIDINIUM BROMIDE; VILANTEROL TRIFENATATE,GLAXOSMITHKLINE INTELLECTUAL PROPERTY DEVELOPMENT LTD ENGLAND,203975,6,True,"Dec 18, 2013",Respiratory,R03BB
2030-12-01,FOSRENOL,LANTHANUM CARBONATE,TAKEDA PHARMACEUTICALS USA INC,204734,4,False,"Sep 24, 2014",Various,V03AE
2030-12-02,RYDAPT,MIDOSTAURIN,NOVARTIS PHARMACEUTICALS CORP,207997,2,False,"Apr 28, 2017",Cancer,L01EX
2030-12-06,RENVELA,SEVELAMER CARBONATE,GENZYME CORP,022318,2,False,"Aug 12, 2009",Various,V03AE
2030-12-31,RELISTOR,METHYLNALTREXONE BROMIDE,SALIX PHARMACEUTICALS INC,021964,21,False,"Apr 24, 2008",Metabolism & digestive,A06AH
2030-12-31,SIVEXTRO,TEDIZOLID PHOSPHATE,CUBIST PHARMACEUTICALS LLC,205435,7,True,"Jun 20, 2014",Infectious disease,J01XX
2030-12-31,SIVEXTRO,TEDIZOLID PHOSPHATE,CUBIST PHARMACEUTICALS LLC,205436,7,True,"Jun 20, 2014",Infectious disease,J01XX
2031-01-05,GILOTRIF,AFATINIB DIMALEATE,BOEHRINGER INGELHEIM,201292,30,True,"Jul 12, 2013",Cancer,L01EB
2031-01-09,BESIVANCE,BESIFLOXACIN HYDROCHLORIDE,BAUSCH AND LOMB INC,022308,4,True,"May 28, 2009",Eye & ear,S01AE
2031-01-14,PLIAGLIS,LIDOCAINE; TETRACAINE,CRESCITA THERAPEUTICS INC,021717,4,False,"Jun 29, 2006",Cardiovascular,C01BB
2031-01-19,ZYPITAMAG,PITAVASTATIN MAGNESIUM,MEDICURE INTERNATIONAL INC,208379,3,True,"Jul 14, 2017",Cardiovascular,C10AA
2031-01-20,ZUSDURI,MITOMYCIN,UROGEN PHARMA LTD,215793,4,False,"Jun 12, 2025",Cancer,L01DC
2031-01-20,JELMYTO,MITOMYCIN,UROGEN PHARMA LTD,211728,3,False,"Apr 15, 2020",Cancer,L01DC
2031-01-24,DOVATO,DOLUTEGRAVIR SODIUM; LAMIVUDINE,VIIV HEALTHCARE CO,211994,5,True,"Apr 8, 2019",Infectious disease,J05AF
2031-01-26,INVEGA SUSTENNA,PALIPERIDONE PALMITATE,JANSSEN PHARMACEUTICALS INC,022264,10,False,"Jul 31, 2009",Psychiatry,N05AX
2031-02-01,UPTRAVI,SELEXIPAG,ACTELION PHARMACEUTICALS US INC,214275,8,True,"Jul 29, 2021",Blood,B01AC
2031-02-04,VOCABRIA,CABOTEGRAVIR SODIUM,VIIV HEALTHCARE CO,212887,2,True,"Jan 21, 2021",Infectious disease,J05AJ
2031-02-05,LUPRON DEPOT,LEUPROLIDE ACETATE,ABBVIE ENDOCRINE INC,020517,2,False,"Dec 22, 1995",Cancer,L02AE
2031-02-05,LUPRON DEPOT-PED KIT,LEUPROLIDE ACETATE,ABBVIE ENDOCRINE INC,020263,2,False,"Apr 16, 1993",Cancer,L02AE
2031-02-10,TEFLARO,CEFTAROLINE FOSAMIL,ABBVIE INC,200327,4,False,"Oct 29, 2010",Infectious disease,J01DI
2031-02-14,IDOSE TR,TRAVOPROST,GLAUKOS CORP,218010,4,True,"Dec 13, 2023",Eye & ear,S01EE
2031-02-15,QUILLIVANT XR,METHYLPHENIDATE HYDROCHLORIDE,NEXTWAVE PHARMACEUTICALS INC A SUB OF TRIS PHARMA INC,202100,7,False,"Sep 27, 2012",Neurology & psychiatry,N06BA
2031-02-22,APADAZ,ACETAMINOPHEN; BENZHYDROCODONE HYDROCHLORIDE,ZEVRA THERAPEUTICS,208653,15,True,"Feb 23, 2018",Pain,N02AJ
2031-02-24,TECHNEGAS KIT,TECHNETIUM TC-99M LABELED CARBON,CYCLOMEDICA AUSTRALIA PTY LTD,022335,1,False,"Sep 29, 2023",Unclassified,
2031-02-25,EDLUAR,ZOLPIDEM TARTRATE,VIATRIS SPECIALTY LLC,021997,4,False,"Mar 13, 2009",Psychiatry,N05CF
2031-02-28,XERMELO,TELOTRISTAT ETIPRATE,TERSERA THERAPEUTICS LLC,208794,5,True,"Feb 28, 2017",Unclassified,
2031-03-10,RELISTOR,METHYLNALTREXONE BROMIDE,SALIX PHARMACEUTICALS INC,208271,9,False,"Jul 19, 2016",Metabolism & digestive,A06AH
2031-03-17,BEVESPI AEROSPHERE,FORMOTEROL FUMARATE; GLYCOPYRROLATE,ASTRAZENECA PHARMACEUTICALS LP,208294,7,False,"Apr 25, 2016",Respiratory,R03AC
2031-03-19,INTRAROSA,PRASTERONE,MILLICENT PHARMA LTD,208470,3,False,"Nov 16, 2016",Metabolism & digestive,A14AA
2031-03-21,XADAGO,SAFINAMIDE MESYLATE,MDD US OPERATIONS LLC,207145,6,True,"Mar 21, 2017",Parkinson's,N04BD
2031-03-26,GELNIQUE,OXYBUTYNIN CHLORIDE,ABBVIE INC,022204,3,False,"Jan 27, 2009",Genitourinary & hormones,G04BD
2031-03-29,BEVYXXA,BETRIXABAN,PORTOLA PHARMACEUTICALS INC,208383,12,True,"Jun 23, 2017",Blood,B01AF
2031-03-29,SODIUM THIOSULFATE,SODIUM THIOSULFATE,HOPE PHARMACEUTICALS,203923,6,True,"Feb 14, 2012",Various,V03AB
2031-04-04,BYDUREON BCISE,EXENATIDE SYNTHETIC,ASTRAZENECA AB,209210,47,True,"Oct 20, 2017",Diabetes,A10BJ
2031-04-11,BREO ELLIPTA,FLUTICASONE FUROATE; VILANTEROL TRIFENATATE,GLAXO GROUP LTD ENGLAND DBA GLAXOSMITHKLINE,204275,30,False,"May 10, 2013",Respiratory,R01AD
2031-04-11,TRELEGY ELLIPTA,FLUTICASONE FUROATE; UMECLIDINIUM BROMIDE; VILANTEROL TRIFENATATE,GLAXOSMITHKLINE INTELLECTUAL PROPERTY DEVELOPMENT LTD ENGLAND,209482,15,True,"Sep 18, 2017",Respiratory,R01AD
2031-04-15,MEKINIST,TRAMETINIB DIMETHYL SULFOXIDE,NOVARTIS PHARMACEUTICALS CORP,217513,4,True,"Mar 16, 2023",Cancer,L01EE
2031-04-16,SPIRIVA RESPIMAT,TIOTROPIUM BROMIDE,BOEHRINGER INGELHEIM PHARMACEUTICALS INC,021936,4,False,"Sep 24, 2014",Respiratory,R03BB
2031-04-26,TREANDA,BENDAMUSTINE HYDROCHLORIDE,CEPHALON INC,022249,46,True,"Mar 20, 2008",Cancer,L01AA
2031-04-27,JEVTANA KIT,CABAZITAXEL,SANOFI AVENTIS US INC,201023,10,True,"Jun 17, 2010",Cancer,L01CD
2031-04-29,TEGSEDI,INOTERSEN SODIUM,AKCEA THERAPEUTICS INC,211172,3,True,"Oct 5, 2018",Neurology & psychiatry,N07XX
2031-05-04,ZEPATIER,ELBASVIR; GRAZOPREVIR,MERCK SHARP AND DOHME LLC A SUB OF MERCK AND CO INC,208261,2,True,"Jan 28, 2016",Infectious disease,J05AP
2031-05-10,ZTLIDO,LIDOCAINE,SCILEX PHARMACEUTICALS INC,207962,8,False,"Feb 28, 2018",Cardiovascular,C01BB
2031-05-12,XIGDUO XR,DAPAGLIFLOZIN; METFORMIN HYDROCHLORIDE,ASTRAZENECA AB,205649,50,True,"Oct 29, 2014",Diabetes,A10BA
2031-05-12,QTERNMET XR,DAPAGLIFLOZIN; METFORMIN HYDROCHLORIDE; SAXAGLIPTIN HYDROCHLORIDE,ASTRAZENECA AB,210874,40,True,"May 2, 2019",Diabetes,A10BA
2031-05-18,VESICARE LS,SOLIFENACIN SUCCINATE,ASTELLAS PHARMA US INC,209529,1,False,"May 26, 2020",Genitourinary & hormones,G04BD
2031-05-24,NALOXONE HYDROCHLORIDE (AUTOINJECTOR),NALOXONE HYDROCHLORIDE,KALEO INC,215457,6,False,"Feb 28, 2022",Pain,N02AA
2031-05-27,OTREXUP,METHOTREXATE,COSETTE PHARMACEUTICALS INC,204824,120,False,"Oct 11, 2013",Cancer,L01BA
