loe,brand,ingredient,company,appl_no,n_patents,substance_patent,approval_date,therapeutic_family,atc_code
2027-10-31,ELEPSIA XR,LEVETIRACETAM,TRIPOINT THERAPEUTICS,204417,10,False,"Dec 20, 2018",Epilepsy,N03AX
2027-11-11,VICTRELIS,BOCEPREVIR,MERCK SHARP AND DOHME CORP,202258,2,False,"May 13, 2011",Infectious disease,J05AP
2027-11-24,ACULAR LS,KETOROLAC TROMETHAMINE,ABBVIE INC,021528,2,True,"May 30, 2003",Musculoskeletal,M01AB
2027-12-07,TOVIAZ,FESOTERODINE FUMARATE,PFIZER INC,022030,12,False,"Oct 31, 2008",Genitourinary & hormones,G04BD
2027-12-11,VALCYTE,VALGANCICLOVIR HYDROCHLORIDE,CHEPLAPHARM ARZNEIMITTEL GMBH,022257,2,False,"Aug 28, 2009",Infectious disease,J05AB
2027-12-12,TROXYCA ER,NALTREXONE HYDROCHLORIDE; OXYCODONE HYDROCHLORIDE,PFIZER INC,207621,6,False,"Aug 19, 2016",Pain,N02AA
2027-12-18,INCRUSE ELLIPTA,UMECLIDINIUM BROMIDE,GLAXO GROUP LTD ENGLAND DBA GLAXOSMITHKLINE,205382,1,True,"Apr 30, 2014",Respiratory,R03BB
2027-12-19,ORACEA,DOXYCYCLINE,GALDERMA LABORATORIES LP,050805,1,False,"May 26, 2006",Metabolism & digestive,A01AB
2027-12-23,ZONTIVITY,VORAPAXAR SULFATE,KEY THERAPEUTICS LLC,204886,1,True,"May 8, 2014",Blood,B01AC
2027-12-23,LASTACAFT,ALCAFTADINE,ABBVIE INC,022134,2,False,"Jul 28, 2010",Eye & ear,S01GX
2027-12-26,CARDENE,NICARDIPINE HYDROCHLORIDE,CHIESI USA INC,019734,22,False,"Jan 30, 1992",Cardiovascular,C08CA
2027-12-28,TRACLEER,BOSENTAN,ACTELION PHARMACEUTICALS US INC,209279,2,False,"Sep 5, 2017",Cardiovascular,C02KX
2028-01-07,RAYOS,PREDNISONE,HORIZON THERAPEUTICS USA INC,202020,4,False,"Jul 26, 2012",Metabolism & digestive,A07EA
2028-01-09,ATELVIA,RISEDRONATE SODIUM,ALLERGAN PHARMACEUTICALS INTERNATIONAL LTD,022560,3,False,"Oct 8, 2010",Unclassified,
2028-01-12,YUTIQ,FLUOCINOLONE ACETONIDE,ALIMERA SCIENCES INC,210331,2,False,"Oct 12, 2018",Eye & ear,S01BA
2028-01-18,NAYZILAM,MIDAZOLAM,UCB INC,211321,4,False,"May 17, 2019",Psychiatry,N05CD
2028-01-28,NOURIANZ,ISTRADEFYLLINE,KYOWA KIRIN INC,022075,4,False,"Aug 27, 2019",Parkinson's,N04CX
2028-01-30,NATAZIA,DIENOGEST; ESTRADIOL VALERATE,BAYER HEALTHCARE PHARMACEUTICALS INC,022252,2,False,"May 6, 2010",Genitourinary & hormones,G03AA
2028-01-31,DIFICID,FIDAXOMICIN,CUBIST PHARMACEUTICALS LLC,201699,10,True,"May 27, 2011",Metabolism & digestive,A07AA
2028-02-01,PROMACTA,ELTROMBOPAG OLAMINE,NOVARTIS PHARMACEUTICALS CORP,022291,79,True,"Nov 20, 2008",Blood,B02BX
2028-02-01,OMNARIS,CICLESONIDE,AZURITY PHARMACEUTICALS INC,022004,1,False,"Oct 20, 2006",Respiratory,R01AD
2028-02-01,ALVESCO,CICLESONIDE,AZURITY PHARMACEUTICALS INC,021658,2,False,"Jan 10, 2008",Respiratory,R01AD
2028-02-01,ZETONNA,CICLESONIDE,AZURITY PHARMACEUTICALS INC,202129,1,False,"Jan 20, 2012",Respiratory,R01AD
2028-02-05,ZOMETA,ZOLEDRONIC ACID,NOVARTIS PHARMACEUTICALS CORP,021223,1,False,"Aug 20, 2001",Musculoskeletal,M05BA
2028-02-13,PERSERIS KIT,RISPERIDONE,INDIVIOR INC,210655,20,False,"Jul 27, 2018",Psychiatry,N05AX
2028-02-15,INJECTAFER,FERRIC CARBOXYMALTOSE,AMERICAN REGENT INC,203565,90,True,"Jul 25, 2013",Unclassified,
2028-03-08,REVLIMID,LENALIDOMIDE,BRISTOL MYERS SQUIBB,021880,12,True,"Dec 27, 2005",Immunology,L04AX
2028-03-18,ZOLINZA,VORINOSTAT,MERCK SHARP AND DOHME LLC A SUB OF MERCK AND CO INC,021991,3,True,"Oct 6, 2006",Cancer,L01XH
2028-03-26,EDARBI,AZILSARTAN KAMEDOXOMIL,AZURITY PHARMACEUTICALS INC,200796,2,False,"Feb 25, 2011",Cardiovascular,C09CA
2028-03-28,SAVAYSA,EDOXABAN TOSYLATE,DAIICHI SANKYO INC,206316,6,True,"Jan 8, 2015",Blood,B01AF
2028-03-30,VUSION,MICONAZOLE NITRATE; WHITE PETROLATUM; ZINC OXIDE,MYLAN PHARMACEUTICALS INC,021026,1,False,"Feb 16, 2006",Metabolism & digestive,A01AB
2028-04-04,TROKENDI XR,TOPIRAMATE,SUPERNUS PHARMACEUTICALS INC,201635,80,False,"Aug 16, 2013",Metabolism & digestive,A08AA
2028-04-12,MACRILEN,MACIMORELIN ACETATE,AETERNA ZENTARIS GMBH,205598,2,False,"Dec 20, 2017",Various,V04CD
2028-04-30,NICORETTE,NICOTINE POLACRILEX,HALEON US HOLDINGS LLC,020066,1,False,"Feb 9, 1996",Neurology & psychiatry,N07BA
2028-04-30,NICORETTE,NICOTINE POLACRILEX,HALEON US HOLDINGS LLC,018612,1,False,"Feb 9, 1996",Neurology & psychiatry,N07BA
2028-05-01,VERSACLOZ,CLOZAPINE,DOUGLAS PHARMACEUTICALS AMERICA LTD,203479,1,False,"Feb 6, 2013",Psychiatry,N05AH
2028-05-07,SORILUX,CALCIPOTRIENE,MAYNE PHARMA LLC,022563,5,False,"Oct 6, 2010",Dermatology,D05AX
2028-05-16,VENLAFAXINE BESYLATE,VENLAFAXINE BESYLATE,ALMATICA PHARMA LLC,215429,1,False,"Jun 29, 2022",Neurology & psychiatry,N06AX
2028-05-23,DALVANCE,DALBAVANCIN HYDROCHLORIDE,ABBVIE INC,021883,1,False,"May 23, 2014",Infectious disease,J01XA
