iter	Logloss
0	0.6868971053
1	0.6808207318
2	0.6749624032
3	0.6692764441
4	0.6642268548
5	0.658659421
6	0.6532738066
7	0.6479699997
8	0.6427641528
9	0.637510514
10	0.6320899208
11	0.6277162938
12	0.6229370866
13	0.6181756254
14	0.6135860638
15	0.6089276461
16	0.6044057423
17	0.5996422706
18	0.5947825426
19	0.589872486
20	0.5861893776
21	0.5820786915
22	0.5771614722
23	0.5726638645
24	0.5684681413
25	0.5645095485
26	0.5609507608
27	0.5567842433
28	0.5532359622
29	0.54981196
30	0.5458734962
31	0.5426611875
32	0.5396615194
33	0.5359650824
34	0.5331333191
35	0.5294231854
36	0.5263537954
37	0.5234076899
38	0.5206358686
39	0.5181012568
40	0.5146955367
41	0.512271374
42	0.5089748666
43	0.5063903416
44	0.503860406
45	0.5013819911
46	0.49887676
47	0.4961720817
48	0.4941992286
49	0.4918811779
50	0.4896281359
51	0.4872003509
52	0.4847413649
53	0.482557659
54	0.4805737066
55	0.4788710501
56	0.4771452946
57	0.4748707568
58	0.4732469841
59	0.4711445695
60	0.4691707532
61	0.4674789787
62	0.465460597
63	0.4636289662
64	0.4618681057
65	0.4601839986
66	0.4586848263
67	0.457207533
68	0.4556310326
69	0.4540849657
70	0.4524728557
71	0.4510570824
72	0.4494138587
73	0.4479363732
74	0.4465151201
75	0.4449968158
76	0.4436542463
77	0.4421008412
78	0.4406982
79	0.439046966
80	0.4377731415
81	0.43663387
82	0.4354611026
83	0.4343044463
84	0.4333269449
85	0.4317112012
86	0.4303279572
87	0.4294583951
88	0.4281764532
89	0.427216235
90	0.4263810276
91	0.4251297946
92	0.4242441664
93	0.4234386673
94	0.4224475078
95	0.421612494
96	0.4206845898
97	0.4197082972
98	0.4188596101
99	0.41801216
100	0.4168450547
101	0.4159502568
102	0.415198917
103	0.4144779753
104	0.413666116
105	0.4128244306
106	0.4119029396
107	0.4111554555
108	0.4105100965
109	0.4098561316
110	0.4092703944
111	0.4085022178
112	0.4077634098
113	0.4070982168
114	0.406291653
115	0.4056294971
116	0.4048397052
117	0.4042402851
118	0.4036783659
119	0.403013813
120	0.4024080302
121	0.4016744204
122	0.4009104813
123	0.4002646047
124	0.3997589659
125	0.3992444426
126	0.398792569
127	0.3982414277
128	0.3977204999
129	0.3972182636
130	0.3966222622
131	0.3961411682
132	0.3957454263
133	0.3953064502
134	0.3948297931
135	0.394063019
136	0.3935334523
137	0.3930408982
138	0.3926822581
139	0.3922344742
140	0.3917636933
141	0.3912973027
142	0.3908963144
143	0.3905017774
144	0.3898254979
145	0.3893245325
146	0.3888342654
147	0.3882891864
148	0.3878537249
149	0.3873593526
150	0.386740601
151	0.3863220322
152	0.3859518676
153	0.3855858817
154	0.3852652176
155	0.3849226029
156	0.3845571698
157	0.3840900544
